year;annualtemp
1949;8.81
1950;8.82
1951;8.99
1952;7.98
1953;8.74
1954;7.61
1955;7.56
1956;6.94
1957;8.48
1958;8.14
1959;8.26
1960;7.95
1961;8.27
1962;6.84
1963;6.94
1964;7.46
1965;7.15
1966;8.36
1967;8.68
1968;8.26
1969;7.87
1970;7.66
1971;8.08
1972;8.08
1973;7.87
1974;8.99
1975;8.84
1976;8.47
1977;8.41
1978;null
1979;null
1980;null
1981;7.99
1982;8.44
1983;8.58
1984;7.69
1985;7.03
1986;7.82
1987;7.42
1988;8.85
1989;8.9
1990;8.82
1991;7.87
1992;9.43
1993;8.56
1994;10.18
1995;8.99
1996;7.43
1997;8.65
1998;9.06
1999;9.27
2000;9.87
2001;8.92
2002;9.76
2003;9.29
2004;8.88
2005;8.58
2006;8.96
2007;10.2
2008;9.88
2009;9.5
2010;8.48
2011;10
2012;null
2013;9.44
2014;null
2015;10.77
2016;9.98
2017;9.81
2018;11.25
2019;10.73
2020;10.36
