year;annualtemp
1941;1.26
1942;1.97
1943;3.01
1944;1.21
1945;null
1946;2.14
1947;2.18
1948;2.4
1949;2.07
1950;1.85
1951;1.62
1952;0.79
1953;2.38
1954;0.83
1955;2.21
1956;1.26
1957;3.4
1958;1.73
1959;2.27
1960;1.06
1961;2.25
1962;0.22
1963;0.99
1964;1.85
1965;0.35
1966;1.08
1967;0.02
1968;-0.2
1969;-0.39
1970;-0.75
1971;0.28
1972;-0.15
1973;-0.21
1974;-0.39
1975;0.55
1976;-0.25
1977;0.36
1978;-0.19
1979;-0.25
1980;-0.81
1981;-0.4
1982;0.71
1983;1.09
1984;-0.6
1985;-0.02
1986;0.3
1987;0.26
1988;0.6
1989;1.57
1990;1.07
1991;0.5
1992;1.33
1993;0.74
1994;1.68
1995;0.26
1996;-0.06
1997;1.33
1998;0.66
1999;0.63
2000;1.4
2001;0.77
2002;1.53
2003;1.61
2004;0.54
2005;0.23
2006;1.51
2007;1.52
2008;0.97
2009;0.97
2010;-0.3
2011;2.24
2012;1.06
2013;0.9
2014;1.94
2015;2.24
2016;1.4
2017;1.34
2018;2.19
2019;1.66
2020;2.21
