year;annualtemp
1937;10.2
1938;9.97
1939;9.83
1940;7.56
1941;8.64
1942;8.81
1943;10.07
1944;9.79
1945;null
1946;null
1947;10.09
1948;10.3
1949;10.64
1950;10.53
1951;10.89
1952;9.92
1953;10.43
1954;9.3
1955;9
1956;8.44
1957;9.95
1958;9.89
1959;9.88
1960;9.8
1961;10.3
1962;8.89
1963;8.71
1964;9.12
1965;8.77
1966;10.34
1967;10.48
1968;9.9
1969;9.46
1970;9.61
1971;10.07
1972;9.86
1973;10.06
1974;10.77
1975;10.59
1976;10.07
1977;10.59
1978;9.59
1979;10.12
1980;9.05
1981;10.43
1982;10.24
1983;10.93
1984;9.68
1985;9.17
1986;9.82
1987;9.46
1988;10.58
1989;10.86
1990;10.96
1991;9.84
1992;11.33
1993;10.42
1994;11.8
1995;10.54
1996;9.27
1997;10.22
1998;11.05
1999;11.07
2000;11.98
2001;10.86
2002;11.61
2003;11.18
2004;10.63
2005;10.47
2006;11
2007;12.01
2008;11.77
2009;11.5
2010;10.23
2011;11.41
2012;11.72
2013;11.17
2014;12.28
2015;12.22
2016;11.75
2017;11.88
2018;12.67
2019;12.61
2020;12.02
