year;annualtemp
1962;null
1963;7.17
1964;7.52
1965;6.77
1966;8.15
1967;8.06
1968;7.55
1969;7.27
1970;7.42
1971;7.57
1972;7.63
1973;7.62
1974;8.43
1975;8.72
1976;8.06
1977;8.38
1978;7.01
1979;7.76
1980;7.02
1981;7.47
1982;8.54
1983;8.19
1984;7.55
1985;7.49
1986;7.46
1987;7.67
1988;8.5
1989;8.78
1990;8.7
1991;0.73
1992;9.23
1993;8.68
1994;9.86
1995;8.59
1996;7.7
1997;8.87
1998;8.57
1999;8.68
2000;null
2001;9.5
2002;null
2003;NaN
2004;8.3
2005;8.32
2006;8.65
2007;9.85
2008;9.72
2009;9.43
2010;8.7
2011;9.49
2012;9.81
2013;9.55
2014;10.41
2015;9.9
2016;9.8
2017;9.7
2018;10.43
2019;10.59
2020;9.97
