year;annualtemp
1973;9.5
1974;10.38
1975;10.61
1976;9.7
1977;10.24
1978;8.86
1979;9.81
1980;8.72
1981;9.75
1982;10.06
1983;10.2
1984;9.5
1985;9.01
1986;9.23
1987;9.4
1988;10.34
1989;10.74
1990;10.56
1991;9.66
1992;null
1993;10.33
1994;11.64
1995;10.42
1996;9.31
1997;10.18
1998;10.94
1999;11.6
2000;12.24
2001;NaN
2002;11.74
2003;11.2
2004;10.49
2005;10.12
2006;10.69
2007;11.66
2008;11.63
2009;11.46
2010;10.79
2011;11.53
2012;11.86
2013;11.28
2014;12.46
2015;12.08
2016;11.87
2017;11.78
2018;12.44
2019;12.7
2020;12.01
