year;annualtemp
1959;8.24
1960;7.75
1961;8.14
1962;6.76
1963;7.06
1964;7.31
1965;6.65
1966;7.99
1967;8.2
1968;7.29
1969;7.37
1970;7.43
1971;7.83
1972;7.22
1973;6.98
1974;7.63
1975;8.44
1976;7.84
1977;8.12
1978;6.85
1979;7.74
1980;6.62
1981;7.63
1982;8.18
1983;7.79
1984;7.07
1985;7.08
1986;7.11
1987;7.36
1988;8.29
1989;8.49
1990;8.24
1991;7.48
1992;8.5
1993;7.84
1994;9.16
1995;8.01
1996;7.07
1997;8.29
1998;8.68
1999;8.74
2000;9.46
2001;8.87
2002;9.45
2003;8.95
2004;8.43
2005;8.17
2006;8.51
2007;9.63
2008;9.24
2009;9.07
2010;8.29
2011;9.16
2012;9.21
2013;9.15
2014;10.04
2015;9.77
2016;9.52
2017;9.29
2018;10.01
2019;10.12
2020;9.69
