year;annualtemp
1959;5.69
1960;4.92
1961;6.02
1962;4.28
1963;4.51
1964;5.69
1965;4.3
1966;5.02
1967;5.17
1968;4.88
1969;5.05
1970;4.76
1971;5.6
1972;5.35
1973;5.35
1974;5.41
1975;5.6
1976;5.25
1977;5.63
1978;5.07
1979;5.16
1980;4.77
1981;5.16
1982;6.08
1983;5.95
1984;4.88
1985;5.47
1986;5.66
1987;5.51
1988;6.01
1989;6.23
1990;6.1
1991;5.94
1992;6.35
1993;6.3
1994;7.32
1995;5.72
1996;5.88
1997;6.87
1998;6.36
1999;6.22
2000;6.83
2001;null
2002;null
2003;6.7
2004;5.89
2005;5.25
2006;6.11
2007;6.38
2008;5.82
2009;5.89
2010;5.15
2011;6.72
2012;5.9
2013;5.78
2014;7.01
2015;6.86
2016;6.42
2017;6.3
2018;7.02
2019;6.32
2020;6.63
