year;annualtemp
1966;9.32
1967;9.48
1968;8.88
1969;8.48
1970;8.39
1971;null
1972;null
1973;null
1974;9.81
1975;null
1976;9.28
1977;9.58
1978;8.5
1979;9.22
1980;8.4
1981;9.56
1982;null
1983;10.11
1984;8.96
1985;8.36
1986;9.06
1987;8.68
1988;9.9
1989;10.22
1990;10.25
1991;9.3
1992;10.73
1993;9.67
1994;11.17
1995;10.09
1996;8.58
1997;9.71
1998;10.38
1999;10.45
2000;11.31
2001;10.15
2002;10.95
2003;10.6
2004;10.04
2005;10.05
2006;10.34
2007;11.3
2008;11.07
2009;10.76
2010;9.55
2011;10.68
2012;10.95
2013;10.46
2014;11.69
2015;11.6
2016;11.07
2017;11.18
2018;12.1
2019;12
2020;11.48
