year;annualtemp
1951;8.8
1952;7.57
1953;8.4
1954;7.57
1955;7.84
1956;7.16
1957;8.38
1958;8.25
1959;null
1960;8.35
1961;8.54
1962;null
1963;7.68
1964;null
1965;null
1966;8.52
1967;8.56
1968;7.9
1969;7.75
1970;7.7
1971;8.1
1972;8.11
1973;8.12
1974;8.81
1975;9.06
1976;8.6
1977;9.23
1978;null
1979;NaN
1980;NaN
1981;NaN
1982;NaN
1983;NaN
1984;NaN
1985;NaN
1986;NaN
1987;NaN
1988;NaN
1989;NaN
1990;NaN
1991;NaN
1992;NaN
1993;NaN
1994;NaN
1995;NaN
1996;NaN
1997;NaN
1998;NaN
1999;NaN
2000;NaN
2001;NaN
2002;NaN
2003;NaN
2004;NaN
2005;NaN
2006;NaN
2007;NaN
2008;NaN
2009;9.98
2010;9.35
2011;9.86
2012;10.08
2013;9.93
2014;11.03
2015;null
2016;9.88
2017;9.56
2018;10.49
2019;10.58
2020;10
