year;annualtemp
1967;7.12
1968;6.91
1969;6.76
1970;6.33
1971;6.62
1972;6.22
1973;6.32
1974;6.91
1975;7.11
1976;6.71
1977;7.23
1978;5.89
1979;6.36
1980;6.03
1981;6.56
1982;6.96
1983;7.26
1984;5.97
1985;6.3
1986;6.29
1987;6.57
1988;7.17
1989;8.2
1990;NaN
1991;NaN
1992;NaN
1993;NaN
1994;NaN
1995;7.23
1996;6.44
1997;7.54
1998;7.75
1999;7.77
2000;8.47
2001;7.71
2002;8.61
2003;8.06
2004;7.46
2005;7.19
2006;7.95
2007;8.59
2008;8.62
2009;8.37
2010;7.43
2011;8.63
2012;8.28
2013;8.3
2014;9.27
2015;8.88
2016;8.83
2017;8.53
2018;9.35
2019;9.18
2020;8.77
