year;annualtemp
1937;8.19
1938;null
1939;null
1940;null
1941;null
1942;null
1943;null
1944;null
1945;null
1946;null
1947;8.82
1948;8.79
1949;8.67
1950;8.73
1951;null
1952;null
1953;null
1954;7.55
1955;7.52
1956;6.91
1957;8.47
1958;8.16
1959;8.68
1960;8.34
1961;8.83
1962;7.19
1963;7.37
1964;7.72
1965;7.64
1966;8.88
1967;8.8
1968;8.28
1969;8.08
1970;7.92
1971;8.48
1972;7.97
1973;8.24
1974;9.01
1975;8.77
1976;null
1977;8.98
1978;7.73
1979;8.45
1980;7.8
1981;8.65
1982;9.06
1983;9.4
1984;8.28
1985;7.85
1986;8.48
1987;8.19
1988;9.34
1989;9.54
1990;9.48
1991;8.42
1992;9.75
1993;9.07
1994;10.65
1995;9.26
1996;7.73
1997;9.11
1998;9.47
1999;9.69
2000;10.24
2001;9.41
2002;10.16
2003;9.68
2004;9.24
2005;8.85
2006;9.37
2007;10.39
2008;10.09
2009;9.76
2010;8.7
2011;10.12
2012;9.79
2013;9.58
2014;10.84
2015;10.98
2016;10.3
2017;10.11
2018;11.38
2019;10.9
2020;10.53
