year;annualtemp
1937;null
1938;null
1939;6.47
1940;5.82
1941;null
1942;null
1943;null
1944;null
1945;null
1946;null
1947;null
1948;7.57
1949;7.44
1950;7.23
1951;null
1952;NaN
1953;NaN
1954;NaN
1955;NaN
1956;NaN
1957;NaN
1958;6.74
1959;7.12
1960;6.66
1961;7.61
1962;5.56
1963;5.83
1964;6.61
1965;5.66
1966;6.74
1967;6.72
1968;6.06
1969;6.07
1970;5.94
1971;6.91
1972;6.71
1973;null
1974;null
1975;NaN
1976;NaN
1977;NaN
1978;NaN
1979;7.19
1980;6.48
1981;7.07
1982;7.89
1983;7.94
1984;7.07
1985;7.11
1986;7.6
1987;7.37
1988;7.81
1989;7.84
1990;7.84
1991;7.13
1992;8.03
1993;7.71
1994;8.98
1995;7.52
1996;7.16
1997;8.29
1998;8.09
1999;7.96
2000;8.77
2001;7.9
2002;8.73
2003;8.53
2004;7.73
2005;7.34
2006;8.03
2007;9.03
2008;8.92
2009;8.84
2010;8.12
2011;9.55
2012;8.76
2013;8.66
2014;null
2015;9.3
2016;8.85
2017;8.59
2018;9.63
2019;9.18
2020;9.16
