year;annualtemp
1971;3.59
1972;3.08
1973;3.27
1974;3.99
1975;4.06
1976;2.96
1977;4.06
1978;null
1979;null
1980;2.98
1981;3.85
1982;4.09
1983;4.4
1984;2.97
1985;3.59
1986;3.53
1987;3.62
1988;4.14
1989;5.23
1990;4.86
1991;3.8
1992;4.73
1993;4.55
1994;5.14
1995;3.65
1996;3.5
1997;5.15
1998;5.65
1999;4.14
2000;4.26
2001;3.2
2002;5.33
2003;3.5
2004;2.78
2005;2.08
2006;4.65
2007;null
2008;4.67
2009;4.44
2010;3.53
2011;5.27
2012;4.85
2013;4.59
2014;5.39
2015;5.51
2016;5.03
2017;4.96
2018;5.32
2019;5.46
2020;5.25
