year;annualtemp
1960;6.26
1961;7.1
1962;5.2
1963;5.64
1964;6.09
1965;5.4
1966;6.59
1967;6.67
1968;6.28
1969;5.84
1970;5.98
1971;6.68
1972;5.95
1973;6.07
1974;6.59
1975;6.86
1976;6.38
1977;7.06
1978;5.86
1979;6.37
1980;5.64
1981;6.73
1982;7.11
1983;7.56
1984;5.95
1985;6.35
1986;6.18
1987;5.79
1988;6.32
1989;6.97
1990;6.78
1991;5.67
1992;7.23
1993;6.5
1994;7.68
1995;6.45
1996;5.54
1997;6.82
1998;6.64
1999;6.76
2000;7.62
2001;6.86
2002;7.44
2003;7.09
2004;6.22
2005;5.88
2006;6.78
2007;7.5
2008;7.22
2009;7.11
2010;6.27
2011;7.97
2012;7.52
2013;7.18
2014;8.25
2015;8.31
2016;7.69
2017;7.63
2018;8.16
2019;8.24
2020;8.08
