year;annualtemp
1936;null
1937;null
1938;6.51
1939;6.26
1940;5.15
1941;null
1942;6.42
1943;null
1944;5.78
1945;6.83
1946;7.57
1947;7.85
1948;7.51
1949;7.27
1950;7.78
1951;7.73
1952;6.61
1953;7.43
1954;6.53
1955;6.6
1956;5.9
1957;7.54
1958;6.86
1959;7.35
1960;6.89
1961;7.31
1962;5.52
1963;6.43
1964;6.82
1965;5.92
1966;6.7
1967;5.96
1968;5.85
1969;5.8
1970;5.2
1971;6.37
1972;6.47
1973;5.72
1974;6.68
1975;6.7
1976;NaN
1977;6.87
1978;5.51
1979;5.87
1980;5.24
1981;5.79
1982;6.88
1983;6.95
1984;5.88
1985;5.87
1986;6.15
1987;6.06
1988;6.82
1989;6.9
1990;6.89
1991;6.04
1992;6.97
1993;null
1994;7.91
1995;null
1996;5.88
1997;6.8
1998;6.42
1999;6.41
2000;7.24
2001;6.38
2002;7.49
2003;7.09
2004;6.37
2005;5.68
2006;6.57
2007;7.18
2008;7.39
2009;6.87
2010;6.59
2011;7.91
2012;7.41
2013;7.29
2014;8.56
2015;8.14
2016;7.65
2017;7.49
2018;8.52
2019;8.1
2020;7.66
