year;annualtemp
1949;null
1950;null
1951;null
1952;null
1953;6.09
1954;5.03
1955;5.34
1956;4.38
1957;null
1958;5.56
1959;null
1960;null
1961;6.26
1962;null
1963;null
1964;-1.03
1965;5.17
1966;6.22
1967;6.48
1968;5.57
1969;null
1970;null
1971;5.38
1972;5.35
1973;6.08
1974;6.36
1975;6.16
1976;5.81
1977;6.15
1978;5.26
1979;null
1980;5.16
1981;6.08
1982;6.75
1983;6.94
1984;5.44
1985;5.82
1986;5.85
1987;5.94
1988;6.57
1989;6.83
1990;null
1991;5.56
1992;6.93
1993;6.61
1994;7.9
1995;6.44
1996;5.86
1997;7.15
1998;7.09
1999;6.78
2000;7.47
2001;6.95
2002;7.69
2003;7.17
2004;6.58
2005;6.18
2006;7.05
2007;7.58
2008;7.19
2009;6.83
2010;6.32
2011;7.87
2012;7.46
2013;7.02
2014;7.9
2015;8.16
2016;7.66
2017;7.77
2018;8.07
2019;7.88
2020;7.87
