year;annualtemp
1776;null
1777;null
1778;null
1779;null
1780;null
1781;null
1782;null
1783;null
1784;null
1785;null
1786;null
1787;null
1788;null
1789;null
1790;null
1791;null
1792;null
1793;null
1794;null
1795;null
1796;null
1797;null
1798;null
1799;null
1800;null
1801;null
1802;null
1803;null
1804;null
1805;null
1806;null
1807;null
1808;null
1809;null
1810;null
1811;null
1812;null
1813;null
1814;null
1815;null
1816;null
1817;null
1818;null
1819;null
1820;null
1821;null
1822;null
1823;null
1824;null
1825;null
1826;null
1827;null
1828;null
1829;null
1830;null
1831;null
1832;null
1833;null
1834;null
1835;null
1836;null
1837;null
1838;null
1839;null
1840;null
1841;null
1842;null
1843;null
1844;null
1845;null
1846;null
1847;null
1848;null
1849;null
1850;null
1851;null
1852;null
1853;null
1854;null
1855;null
1856;9.92
1857;10.42
1858;9.17
1859;10.89
1860;9.66
1861;null
1862;null
1863;12.06
1864;8.5
1865;null
1866;10.74
1867;10.13
1868;11.51
1869;10.77
1870;9.07
1871;8.53
1872;11.07
1873;10.28
1874;9.23
1875;8.47
1876;8.89
1877;9.41
1878;9.54
1879;8.37
1880;9.84
1881;8.59
1882;10.19
1883;9.18
1884;9.65
1885;9.59
1886;9.53
1887;8.76
1888;8.39
1889;8.82
1890;9.05
1891;8.75
1892;9.07
1893;9.64
1894;10.21
1895;9.29
1896;9.38
1897;9.99
1898;10.83
1899;9.8
1900;10.26
1901;9.79
1902;8.97
1903;10.2
1904;9.8
1905;9.67
1906;9.72
1907;9.54
1908;9.03
1909;9.17
1910;9.91
1911;10.23
1912;8.84
1913;9.56
1914;9.15
1915;9.51
1916;10.46
1917;9.16
1918;9.98
1919;9
1920;9.87
1921;10.37
1922;8.79
1923;9.9
1924;8.81
1925;9.8
1926;10.22
1927;10
1928;10.01
1929;8.8
1930;10.34
1931;9.26
1932;9.87
1933;8.85
1934;11.45
1935;9.9
1936;10.24
1937;10.4
1938;10.31
1939;9.79
1940;7.54
1941;8.49
1942;8.76
1943;10.12
1944;9.65
1945;10.51
1946;10.22
1947;10.1
1948;10.44
1949;10.59
1950;10.51
1951;10.75
1952;9.9
1953;10.63
1954;9.39
1955;9.57
1956;8.97
1957;10.5
1958;10.41
1959;10.37
1960;10.16
1961;10.85
1962;9.37
1963;9.3
1964;9.61
1965;9.24
1966;10.62
1967;10.8
1968;10.27
1969;9.78
1970;9.85
1971;10.46
1972;10.14
1973;10.42
1974;11.09
1975;10.99
1976;10.38
1977;10.92
1978;9.77
1979;10.28
1980;9.43
1981;10.86
1982;10.68
1983;11.53
1984;10.09
1985;9.81
1986;10.34
1987;9.96
1988;11.12
1989;11.37
1990;11.55
1991;10.4
1992;11.73
1993;10.64
1994;12.07
1995;10.86
1996;9.43
1997;10.57
1998;11.29
1999;11.26
2000;12.25
2001;11.17
2002;11.86
2003;11.57
2004;10.93
2005;10.77
2006;11.25
2007;12.18
2008;11.94
2009;11.52
2010;10.45
2011;11.64
2012;11.83
2013;11.33
2014;12.53
2015;12.66
2016;12.05
2017;12.16
2018;13.01
2019;12.99
2020;12.37
