year;annualtemp
1954;2
1955;2.86
1956;1.88
1957;3.54
1958;3.47
1959;3.72
1960;2.8
1961;4.13
1962;2.35
1963;3.22
1964;4.61
1965;null
1966;3.9
1967;3.79
1968;3.69
1969;3.49
1970;3.32
1971;2.9
1972;2.53
1973;2.37
1974;2.34
1975;2.96
1976;2.3
1977;2.91
1978;null
1979;2.31
1980;1.86
1981;2.19
1982;3.36
1983;3.64
1984;2.07
1985;2.59
1986;2.9
1987;2.8
1988;3.24
1989;3.96
1990;3.48
1991;2.98
1992;3.64
1993;3.14
1994;4.34
1995;2.83
1996;2.52
1997;3.74
1998;3.27
1999;3.07
2000;3.6
2001;3.1
2002;3.85
2003;3.75
2004;2.73
2005;2.4
2006;3.86
2007;3.92
2008;3.55
2009;3.35
2010;2.3
2011;4.43
2012;3.45
2013;3.11
2014;4.26
2015;4.63
2016;3.99
2017;3.85
2018;4.55
2019;4.06
2020;4.49
