year;annualtemp
1953;9.47
1954;8.32
1955;8.76
1956;8.39
1957;10.03
1958;9.53
1959;9.68
1960;9.65
1961;10.1
1962;8.56
1963;8.31
1964;8.98
1965;8.35
1966;9.96
1967;9.96
1968;9.34
1969;8.91
1970;8.94
1971;9.85
1972;9.79
1973;9.81
1974;10.29
1975;10.36
1976;9.84
1977;10.15
1978;9.05
1979;9.64
1980;8.58
1981;9.96
1982;9.85
1983;10.48
1984;9.42
1985;8.78
1986;9.48
1987;9.11
1988;10.24
1989;10.63
1990;10.64
1991;9.54
1992;10.94
1993;9.81
1994;11.23
1995;10.24
1996;8.58
1997;9.8
1998;10.47
1999;10.59
2000;11.5
2001;10.39
2002;11.05
2003;10.67
2004;10.24
2005;10.09
2006;10.48
2007;11.57
2008;11.07
2009;10.74
2010;9.53
2011;10.75
2012;11
2013;10.45
2014;11.78
2015;11.79
2016;11.07
2017;11.11
2018;12.12
2019;12.02
2020;11.5
