year;annualtemp
1939;6.12
1940;5
1941;null
1942;null
1943;null
1944;null
1945;null
1946;null
1947;null
1948;null
1949;null
1950;null
1951;null
1952;5.53
1953;6.42
1954;4.88
1955;5.14
1956;4.48
1957;6.05
1958;5.69
1959;6.2
1960;5.32
1961;7
1962;4.91
1963;5.71
1964;6.3
1965;5.33
1966;6.2
1967;6.43
1968;6.32
1969;6.13
1970;5.72
1971;6.36
1972;5.64
1973;5.83
1974;6.28
1975;6.55
1976;5.88
1977;6.52
1978;5.18
1979;5.44
1980;4.83
1981;5.6
1982;6.11
1983;6.64
1984;5.04
1985;5.48
1986;5.53
1987;5.66
1988;6.21
1989;6.7
1990;6.26
1991;5.33
1992;6.81
1993;6.08
1994;7.32
1995;5.71
1996;4.94
1997;6.91
1998;6.72
1999;6.99
2000;NaN
2001;6.81
2002;7.17
2003;6.77
2004;6.8
2005;NaN
2006;NaN
2007;NaN
2008;6.72
2009;6.46
2010;5.43
2011;7.43
2012;6.78
2013;6.65
2014;7.55
2015;7.73
2016;7.17
2017;7.06
2018;7.41
2019;7.5
2020;7.37
