year;annualtemp
1962;9.25
1963;9.09
1964;9.37
1965;8.79
1966;10.05
1967;10.21
1968;9.66
1969;9.23
1970;null
1971;null
1972;9.64
1973;9.82
1974;null
1975;null
1976;9.66
1977;10.38
1978;9.2
1979;null
1980;NaN
1981;NaN
1982;NaN
1983;11.08
1984;9.59
1985;9.13
1986;9.79
1987;9.41
1988;10.65
1989;null
1990;10.89
1991;9.68
1992;11.37
1993;10.32
1994;11.72
1995;10.58
1996;9.22
1997;10.29
1998;11.12
1999;11
2000;12.08
2001;10.99
2002;null
2003;null
2004;null
2005;10.29
2006;10.86
2007;11.76
2008;11.64
2009;11.36
2010;10.06
2011;11.25
2012;11.47
2013;11.04
2014;12.12
2015;12.04
2016;11.58
2017;11.71
2018;12.54
2019;12.61
2020;11.91
