year;annualtemp
1927;7.07
1928;6.99
1929;6.51
1930;7.22
1931;6.04
1932;6.95
1933;6.16
1934;7.41
1935;6.33
1936;7
1937;6.72
1938;6.94
1939;6.46
1940;5.76
1941;5.97
1942;6.85
1943;7.72
1944;6.63
1945;7.19
1946;7.14
1947;7.45
1948;7.65
1949;7.76
1950;7.71
1951;7.75
1952;6.67
1953;7.64
1954;6.37
1955;6.49
1956;5.84
1957;7.34
1958;6.99
1959;7.49
1960;6.76
1961;7.56
1962;6.21
1963;6.7
1964;7.36
1965;6.32
1966;7.22
1967;7.35
1968;6.39
1969;6.9
1970;6.37
1971;6.88
1972;6.14
1973;6.63
1974;7.2
1975;7.22
1976;7.76
1977;NaN
1978;6.46
1979;6.49
1980;6.26
1981;6.88
1982;7.36
1983;7.71
1984;6.23
1985;6.76
1986;6.69
1987;6.74
1988;7.45
1989;8.01
1990;7.5
1991;6.73
1992;7.94
1993;7.25
1994;8.62
1995;7.24
1996;6.54
1997;7.8
1998;7.73
1999;7.7
2000;8.39
2001;7.77
2002;8.31
2003;8.07
2004;7.54
2005;7.13
2006;7.85
2007;8.47
2008;8.23
2009;8.09
2010;7.16
2011;8.93
2012;8.27
2013;8.13
2014;8.89
2015;9.39
2016;8.76
2017;8.77
2018;8.95
2019;9.01
2020;8.93
