region;year;bruttoinlandsverbrauch_TWh;umwandlungseinsatz;umwandlungseinsatz_kraftwerke;umwandlungseinsatz_kraftwerke_evu;umwandlungseinsatz_kraftwerke_uea;umwandlungseinsatz_kwk_anlagen;umwandlungseinsatz_kwk_anlagen_evu;umwandlungseinsatz_kwk_anlagen_uea;umwandlungseinsatz_heizwerke;umwandlungseinsatz_heizwerke_evu;umwandlungseinsatz_heizwerke_uea;umwandlungseinsatz_gaserzeugung;umwandlungsausstoss;verbrauchDesSektorsEnergie;transportverluste;nichtenergetischerVerbrauch;energetischerEndverbrauch;energeEndverbrauch_industrie_EisenStahlerzeugung;energeEndverbrauch_industrie_chemiePetrochemie;energeEndverbrauch_industrie_nichtEisenMetalle;energeEndverbrauch_industrie_steineErdenGlas;energeEndverbrauch_industrie_fahrzeugbau;energeEndverbrauch_industrie_maschinenbau;energeEndverbrauch_industrie_bergbau;energeEndverbrauch_industrie_hrungsGenussmittelTabak;energeEndverbrauch_industrie_papierDruck;energeEndverbrauch_industrie_holzverarbeitung;energeEndverbrauch_industrie_bau;energeEndverbrauch_industrie_textilLeder;energeEndverbrauch_industrie_sonstProduzierenderBereich;energeEndverbrauch_verkehr_eisenbahn;energeEndverbrauch_verkehr_sonstigerLandverkehr;energeEndverbrauch_verkehr_transportInRohrfernleitungen;energeEndverbrauch_verkehr_binnenschiffahrt;energeEndverbrauch_verkehr_flugverkehr;energeEndverbrauch_oeffentUndPrivDienstleistungen;energeEndverbrauch_privateHaushalte;energeEndverbrauch_landwirtschaft;energeEndverbrauch_industrie_summe;energeEndverbrauch_verkehr_summe;energeEndverbrauch_summe_aus_Landwirtschaft_privateHaushalte_oeffentUndPrivDienstleistungen;verbrauchDesSektorsEnergie_gewinnungErdoelErdgas;verbrauchDesSektorsEnergie_kohlenbergbau;verbrauchDesSektorsEnergie_mineraloelverarbeitung;verbrauchDesSektorsEnergie_kokerei;verbrauchDesSektorsEnergie_hochofen;verbrauchDesSektorsEnergie_energieversorgung
austria;1970;28.8811111111111;15.7213888888889;9.57222222222222;8.54333333333333;1.02888888888889;1.16083333333333;0;1.16083333333333;0;0;0;4.98833333333333;5.80388888888889;3.88805555555556;0.186944444444444;1.36194444444444;13.5266666666667;2.92777777777778;0.388333333333333;0.191666666666667;1.68555555555556;0.0544444444444444;0.410833333333333;0.461666666666667;0.647222222222222;1.38527777777778;0.0102777777777778;0;0.175;0.505277777777778;0;0;0.00027777777777777;0;0;2.98416666666667;1.69888888888889;0;8.84333333333333;0.00027777777777777;4.68305555555556;;;;;;
austria;1971;33.3997222222222;17.9741666666667;11.8191666666667;10.1463888888889;1.67277777777778;1.34805555555556;0;1.34805555555556;0;0;0;4.80694444444444;5.83555555555556;4.68722222222222;0.2425;1.36833333333333;14.9630555555556;2.63305555555556;0.693611111111111;0.0522222222222222;2.18805555555556;0.065;0.684722222222222;0.610833333333333;0.743888888888889;1.56555555555556;0.0313888888888889;0.0105555555555556;0.191388888888889;0.8525;0;0;0.00055555555555555;0;0;2.79722222222222;1.8425;0;10.3227777777778;0.00055555555555555;4.63972222222222;;;;;;
austria;1972;36.0586111111111;17.8377777777778;11.5266666666667;9.26444444444444;2.26222222222222;1.72027777777778;0.442222222222222;1.27805555555556;0;0;0;4.59083333333333;5.61888888888889;5.66166666666667;0.246666666666667;1.36083333333333;16.5705555555556;2.60611111111111;0.7975;0.0522222222222222;2.6425;0.0702777777777778;0.761111111111111;0.543055555555556;0.795277777777778;1.72611111111111;0.0730555555555556;0.0208333333333333;0.211944444444444;0.971111111111111;0;0;0.00055555555555555;0;0;3.21194444444444;2.08694444444444;0;11.2711111111111;0.00055555555555555;5.29888888888889;;;;;;
austria;1973;38.8155555555556;17.905;11.6155555555556;8.59111111111111;3.02444444444444;1.92583333333333;0.426944444444444;1.49888888888889;0;0;0;4.36361111111111;5.07138888888889;5.78222222222222;0.209444444444444;1.57638888888889;18.4138888888889;3.04138888888889;1.005;0.0616666666666667;3.00305555555556;0.08;0.812777777777778;0.595277777777778;0.845555555555556;1.96916666666667;0.1025;0.0308333333333333;0.188055555555556;1.19916666666667;0;0;0.00055555555555555;0;0;2.95333333333333;2.52555555555556;0;12.9344444444444;0.00055555555555555;5.47888888888889;;;;;;
austria;1974;42.1502777777778;16.5627777777778;11.8147222222222;8.94972222222222;2.865;1.20972222222222;0.399444444444444;0.810277777777778;0;0;0;3.53833333333333;4.04694444444444;7.16833333333333;0.242777777777778;2.24361111111111;19.9797222222222;3.17861111111111;1.51777777777778;0.0705555555555556;3.35666666666667;0.15;0.840277777777778;0.685833333333333;0.944722222222222;2.00166666666667;0.0955555555555556;0.0202777777777778;0.251111111111111;1.63472222222222;0;0;0.0505555555555556;0;0;2.40972222222222;2.77166666666667;0;14.7477777777778;0.0505555555555556;5.18138888888889;;;;;;
austria;1975;42.4363888888889;15.2719444444444;11.1933333333333;8.39638888888889;2.79694444444444;1.14388888888889;0.403611111111111;0.740277777777778;0;0;0;2.93472222222222;3.30388888888889;6.72111111111111;0.193333333333333;3.29083333333333;20.2630555555556;2.58333333333333;1.44833333333333;0.0508333333333333;2.96666666666667;0.186944444444444;0.776111111111111;0.599722222222222;0.9325;2.56111111111111;0.0508333333333333;0.0202777777777778;0.304166666666667;1.5875;0;0;0.157777777777778;0;0;2.98805555555556;3.02583333333333;0.0230555555555556;14.0683333333333;0.157777777777778;6.03694444444444;;;;;;
austria;1976;48.3380555555556;17.3244444444444;13.9108333333333;10.45;3.46083333333333;1.04555555555556;0.572777777777778;0.472777777777778;0;0;0;2.36805555555556;2.71805555555556;6.31111111111111;0.256666666666667;4.69194444444444;22.4719444444444;2.84555555555556;1.56;0.0608333333333333;2.90694444444444;0.199444444444444;0.860277777777778;0.63;1.03861111111111;2.67833333333333;0.0813888888888889;0.0669444444444444;0.315277777777778;1.76611111111111;0;0;0.32;0;0;3.26555555555556;3.84333333333333;0.0333333333333333;15.0097222222222;0.32;7.14222222222222;;;;;;
austria;1977;49.3466666666667;16.0144444444444;13.5966666666667;10.4638888888889;3.13277777777778;1.1525;0.573055555555556;0.579444444444444;0;0;0;1.26527777777778;1.6225;6.61861111111111;0.209722222222222;5.39333333333333;22.7330555555556;2.67055555555556;1.47638888888889;0.0605555555555556;2.99444444444444;0.222777777777778;0.903333333333333;0.614722222222222;0.903333333333333;2.83666666666667;0.0805555555555556;0.0911111111111111;0.3175;1.70055555555556;0;0;0.463888888888889;0;0;3.27;4.08583333333333;0.0408333333333333;14.8725;0.463888888888889;7.39666666666667;;;;;;
austria;1978;51.1944444444444;15.2505555555556;12.9644444444444;10.2777777777778;2.68666666666667;1.21805555555556;0.704166666666667;0.513888888888889;0;0;0;1.06805555555556;1.49472222222222;7.94361111111111;0.2125;5.51694444444444;23.7655555555556;2.94805555555556;1.53916666666667;0.06;3.01611111111111;0.201111111111111;0.916111111111111;0.629722222222222;0.911666666666667;2.74388888888889;0.08;0.0866666666666667;0.295277777777778;1.69555555555556;0;0;0.569444444444444;0;0;3.91194444444444;4.11583333333333;0.045;15.1233333333333;0.569444444444444;8.07277777777778;;;;;;
austria;1979;51.1988888888889;13.5319444444444;11.3233333333333;8.92666666666667;2.39666666666667;2.15916666666667;0.797222222222222;1.36194444444444;0;0;0;0.0494444444444444;0.418055555555556;7.04666666666667;0.199166666666667;5.94472222222222;24.8944444444444;3.06722222222222;1.50861111111111;0.07;3.33694444444444;0.208611111111111;0.968055555555556;0.659444444444444;1.10666666666667;2.78638888888889;0.1;0.107777777777778;0.258611111111111;1.75722222222222;0;0;0.604444444444444;0;0;3.5575;4.74444444444444;0.0525;15.9355555555556;0.604444444444444;8.35444444444444;;;;;;
