region;year;bruttoinlandsverbrauch_TWh;umwandlungseinsatz;umwandlungseinsatz_raffinerie;umwandlungseinsatz_kraftwerke;umwandlungseinsatz_kraftwerke_evu;umwandlungseinsatz_kraftwerke_uea;umwandlungseinsatz_kwk_anlagen;umwandlungseinsatz_kwk_anlagen_evu;umwandlungseinsatz_kwk_anlagen_uea;umwandlungseinsatz_heizwerke;umwandlungseinsatz_heizwerke_evu;umwandlungseinsatz_heizwerke_uea;umwandlungsausstoss;verbrauchDesSektorsEnergie;transportverluste;nichtenergetischerVerbrauch;energetischerEndverbrauch;energeEndverbrauch_industrie_EisenStahlerzeugung;energeEndverbrauch_industrie_chemiePetrochemie;energeEndverbrauch_industrie_nichtEisenMetalle;energeEndverbrauch_industrie_steineErdenGlas;energeEndverbrauch_industrie_fahrzeugbau;energeEndverbrauch_industrie_maschinenbau;energeEndverbrauch_industrie_bergbau;energeEndverbrauch_industrie_hrungsGenussmittelTabak;energeEndverbrauch_industrie_papierDruck;energeEndverbrauch_industrie_holzverarbeitung;energeEndverbrauch_industrie_bau;energeEndverbrauch_industrie_textilLeder;energeEndverbrauch_industrie_sonstProduzierenderBereich;energeEndverbrauch_verkehr_eisenbahn;energeEndverbrauch_verkehr_sonstigerLandverkehr;energeEndverbrauch_verkehr_transportInRohrfernleitungen;energeEndverbrauch_verkehr_binnenschiffahrt;energeEndverbrauch_verkehr_flugverkehr;energeEndverbrauch_oeffentUndPrivDienstleistungen;energeEndverbrauch_privateHaushalte;energeEndverbrauch_landwirtschaft;energeEndverbrauch_industrie_summe;energeEndverbrauch_verkehr_summe;energeEndverbrauch_summe_aus_Landwirtschaft_privateHaushalte_oeffentUndPrivDienstleistungen;verbrauchDesSektorsEnergie_gewinnungErdoelErdgas;verbrauchDesSektorsEnergie_kohlenbergbau;verbrauchDesSektorsEnergie_mineraloelverarbeitung;verbrauchDesSektorsEnergie_kokerei;verbrauchDesSektorsEnergie_hochofen;verbrauchDesSektorsEnergie_energieversorgung
steiermark;1993;18.7479817850059;0.265029767155431;;;;;;;;;;;0;0.0444444444444444;0;2.49832558833319;15.9401819850728;0.0447222222222222;0.0134447974708509;0.0108766868794004;0.714827114913808;0.0158900090938333;0.0763321130921867;0.0355457787919908;0.215476037305579;0.378972321636867;0.00677333573266233;0.232087351349719;0.0389804220159631;0.0295278927275986;0.075811820342173;8.59296275754569;0;0.00020319022618539;0.294099963151297;0.608445499972931;3.925;0.630202670601845;1.81345608323268;8.96307773126533;5.16364817057478;;;;;;
steiermark;1994;17.3657325872698;0.298026581440123;;;;;;;;;;;0;0.0463888888888889;0;1.44331775416667;15.5779993627741;0.0508333333333333;0.0168189336845136;0.012545225851621;0.656546297023383;0.0161722210685103;0.0805047640372914;0.0356392153254467;0.196595710632442;0.371018903438461;0.006269973745927;0.240679636901072;0.0400932100034344;0.0325870521563825;0.0765401512731253;8.62488789704342;0;0.00023702234389471;0.306322185373519;0.549559844787939;3.68222222222222;0.58192556252817;1.75630447720182;9.00798725603394;4.81370762953833;;;;;;
steiermark;1995;17.3394600744517;0.312203779550136;;;;;;;;;;;0;0.0186111111111111;0;1.15656700208333;15.8520781817071;0.0422222222222222;0.0157689475443127;0.0150480306688691;0.586624968060681;0.0159108058973319;0.0710701461519219;0.0345287089121592;0.183830759527304;0.250063083162827;0.00718159241613294;0.233291010422521;0.0306518285903928;0.0300924509577528;0.0713628545354242;8.76365987556425;0;0.00025912317113468;0.336877740929075;0.615343099380983;3.95333333333333;0.594957600258472;1.51628455453443;9.17215959419989;5.16363403297278;;;;;;
steiermark;1996;19.3736679245341;0.394720622573701;;;;;;;;;;;0;0.0166666666666667;0;1.44561527777778;17.516665357516;0.149166666666667;0.0174127189996695;0.0203375041416799;0.535564126377281;0.0101004862914984;0.084169921939185;0.0460147144423083;0.143050911622151;0.220163666425713;0.0102861723767386;0.304575688031542;0.0434444533771739;0.0417816298698836;0.0643085330372269;9.71242146814006;0;0.00026698241369803;0.373544407595742;0.842232297086081;4.29972222222222;0.598100786459458;1.62606866056149;10.1505413911867;5.74005530576775;;;;;;
steiermark;1997;19.0134789182097;0.7671510205;;;;;;;;;;;0;0.255555555555556;0;1.65252291666667;16.3382494254875;0.15;0.0248435312284692;0.0342232182388081;0.643252855871722;0.0125313036437396;0.115266168781931;0.0542738182608089;0.185536393023964;0.321366866782881;0.0140860306588534;0.323424692325622;0.0601052608398669;0.03483107448537;0.0649645411917011;9.1710363463435;0;0.00026914529478182;0.388544407595742;1.00595551547744;3.13916666666667;0.594571588775603;1.97374121414204;9.62481444042572;4.73969377091969;;;;;;
steiermark;1998;20.8938119737337;1.50920983333333;;;;;;;;;;;0;0.213888888888889;0;1.64811388888889;17.5225993626226;0.164444444444444;0.0208764137085791;0.0281212637600911;0.624620797180619;0.0128319982853151;0.100304965748933;0.0488677149957714;0.153078267098391;0.26328051762191;0.012120131518563;0.335278451783975;0.049286221675105;0.029293143906825;0.0641121850573255;10.3210737387573;0;0.00028841499672441;0.407711074262408;0.915689459818117;3.37277777777778;0.59854238022435;1.84240433172852;10.7931854130738;4.88700961782025;;;;;;
steiermark;1999;20.3752992275701;1.67357337587505;;;;;;;;;;;0;0.188447277777778;0;1.66670086375952;16.8465718919902;0.0006458254946824;0.0136571716796465;0.020403977329129;0.319069497346558;0.0112671014608185;0.0955077530049822;0.0650973894961086;0.0797934193608406;0.192205570053966;0.0154851884179312;0.310133362369;0.0401256103774011;0.00929799623915778;0.0664239483574961;9.9970484530062;0;0.00028776427842096;0.381989394879328;1.05054668372089;3.56747285989811;0.610112925219545;1.17268986263022;10.4457495605214;5.22813246883853;0;0;0;0;0.188447277777778;0
steiermark;2000;20.0292742746913;1.02609316903833;;;;;;;;;;;0;0.132941164888889;0;1.84376107934921;17.0264710140088;0.0270545586128448;0.0151138391036164;0.0200571569493533;0.215341268939256;0.0101723738769587;0.106212289880619;0.0619299844807708;0.114089621792384;0.0917881061498642;0.0213013393100368;0.356148359254803;0.0331670949019814;0.0144614554416119;0.0664242688009517;10.5109820770995;0;0.00030889060987308;0.412022871083061;0.693014154269083;3.66512493339917;0.591756370053053;1.0868374486941;10.9897381075934;4.94989545772131;0;0;0;0;0.132941164888889;0
steiermark;2001;21.0867422783963;1.14919474515043;;;;;;;;;;;0;0.154031973333333;0;1.76454855135693;18.0189670085556;0.00290943923572861;0.0171102435235946;0.0260644102038612;0.198423186811605;0.00993507609804455;0.134253123982018;0.0714154973610011;0.100188358406088;0.140978528767419;0.00789329270434294;0.340243766939225;0.0408137557755828;0.0178883147987562;0.0663696905676567;11.3059598189915;0;0.00032155898700852;0.433681084085028;0.915541052317358;3.60054496718283;0.588431841816894;1.10811699460727;11.8063321526312;5.10451786131708;0;0;0;0;0.154031973333333;0
steiermark;2002;21.3853627058762;0.615371580595177;;;;;;;;;;;0;0.0781729660833333;0;1.67334688522061;19.0184712739771;0.00276855615610275;0.0132836563147789;0.0242497048585558;0.199295493139648;0.00623643638376961;0.118532192913409;0.0686009182940095;0.0808092617685992;0.110979425785364;0.00592410135008761;0.280566941842889;0.0366462781645742;0.0149508047896859;0.0641793896107119;12.5315819934607;0;0.00034851780542413;0.442695068181703;0.977561706734261;3.47027113961575;0.568989686807058;0.962843771761472;13.0388049690586;5.01682253315708;0;0;0;0;0.0781729660833333;0
