year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1948,10.311,756.1,14,37,0,71,16,6
1949,10.598,558.9,21,69,1,85,7,8
1950,10.123,966.7,14,57,0,84,22,18
1951,10.234,753.4,3,44,0,67,5,7
1952,10.023,844.4,18,57,4,84,13,31
1953,10.003,529.5,12,43,0,101,10,38
1954,9.349,703.5,6,32,0,82,24,11
1955,9.038,812.5,2,42,0,119,12,27
1956,8.342,722.1,3,22,0,104,37,32
1957,9.802,848.7,10,38,1,97,9,21
1958,9.775,944.7,3,41,0,95,5,26
1959,10.401,535.1,16,70,0,96,11,13
1960,10.159,867.1,4,31,0,71,9,10
1961,10.693,873.2,8,47,0,69,13,5
1962,9.189,656.1,8,48,0,93,18,27
1963,8.725,683.8,11,55,0,102,51,68
1964,9.807,614.2,23,66,0,84,23,16
1965,8.989,1230.5,3,27,0,81,13,39
1966,10.142,976.8,4,39,0,58,13,5
1967,10.31,878.8,12,50,0,72,14,12
1968,9.434,1142.5,5,35,0,84,22,27
1969,9.36,940.6,16,51,0,93,36,64
1970,9.577,1024.6,2,44,0,92,21,48
1971,9.921,587.5,17,64,0,83,21,33
1972,8.943,825.2,7,29,0,80,17,10
1973,9.438,756.4,14,55,1,101,15,16
1974,9.952,990.6,4,32,0,40,1,0
1975,9.973,793.8,16,52,0,65,2,4
1976,10.396,709.1,26,68,1,78,18,17
1977,10.561,783.5,3,38,0,44,8,9
1978,9.502,1085.7,6,30,0,66,16,35
1979,10.218,852.7,8,52,1,50,19,38
1980,9.701,919.4,3,30,0,65,16,16
1981,9.576,1013.1,6,39,0,92,22,36
1982,10.275,923.8,12,71,1,76,20,33
1983,11.07,906.8,36,77,4,66,14,28
1984,9.87,970.4,10,45,0,66,3,13
1985,6.903,492.9,2,12,0,59,27,45
2008,4.113,59.7,0,0,0,24,1,0
2009,10.883,752.0,15,61,0,76,15,24
2010,9.814,845.7,17,48,1,93,31,67
2011,11.544,628.5,11,72,0,62,6,10
2012,10.874,757.4,15,65,0,63,18,15
2013,10.515,972.4,20,59,2,80,10,29
2014,12.208,743.4,9,58,0,43,1,5
2015,11.818,544.4,33,64,7,66,0,2
2016,11.204,742.6,17,71,1,60,8,1
2017,11.44,815.7,24,71,1,66,8,8
2018,12.411,572.7,37,107,0,55,5,4
2019,11.767,711.0,33,76,0,63,3,1
2020,12.238,587.0,23,88,2,61,1,0
2021,10.642,818.5,8,56,0,65,7,9
2022,12.572,779.2,44,95,1,58,5,6
2023,12.726,785.6,30,97,1,49,0,1
2024,13.824,911.3,19,71,1,27,3,5
