year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1879,7.11,569.6,4,29,0,124,52,0
1880,8.442,649.2,2,36,0,94,34,0
1881,7.928,483.3,9,38,1,98,29,0
1882,8.619,555.9,1,25,0,92,22,0
1883,8.325,432.3,1,36,0,109,18,0
1884,8.913,464.8,7,40,2,73,10,0
1885,8.444,433.8,2,50,0,104,40,0
1886,8.782,552.8,7,49,0,98,36,0
1887,7.518,397.9,6,51,0,125,52,0
1888,7.556,598.1,1,24,0,115,39,0
1889,7.891,515.1,4,42,1,123,60,0
1890,8.016,573.2,4,26,0,99,42,0
1891,7.86,516.3,3,24,0,115,39,0
1892,8.293,521.6,9,38,0,123,42,0
1893,8.251,516.3,2,46,0,90,42,0
1894,8.522,626.5,5,28,0,76,28,0
1895,7.881,543.4,4,45,0,119,46,0
1896,7.293,616.6,2,25,0,123,22,0
1897,7.888,755.3,5,35,0,122,27,0
1898,8.517,421.9,10,42,0,98,16,0
1899,7.753,529.7,6,42,0,126,27,0
1900,8.271,625.5,14,42,0,111,10,0
1901,7.399,658.2,3,38,0,124,41,74
1902,7.311,617.3,3,34,0,117,16,31
1903,8.141,550.0,3,41,0,121,19,62
1904,8.554,507.5,16,52,0,126,34,59
1905,8.027,603.5,12,53,0,125,22,30
1906,7.987,662.3,7,41,0,115,22,46
1907,8.09,595.6,3,31,0,114,11,49
1908,7.203,516.2,11,48,0,145,29,41
1909,7.269,721.5,3,37,0,124,36,51
1910,8.073,579.4,3,30,0,117,8,44
1911,8.605,420.7,17,68,3,124,22,34
1912,7.313,636.7,1,17,0,108,32,19
1913,7.962,641.6,0,6,0,85,28,4
1914,7.73,561.3,0,15,0,92,35,39
1915,7.967,651.2,1,18,0,99,28,59
1947,8.656,576.0,32,70,1,115,57,60
1948,8.688,630.4,4,35,0,98,23,5
1949,8.808,466.1,8,47,0,102,23,12
1950,8.505,801.4,12,51,0,111,38,38
1951,8.473,599.7,6,43,0,111,17,26
1952,8.042,735.9,14,47,0,120,37,78
1953,8.551,375.0,5,49,0,129,37,52
1954,7.604,813.0,3,27,0,110,37,24
1955,7.229,693.7,1,26,0,129,40,77
1956,6.629,725.8,0,24,0,119,48,60
1957,8.154,655.7,8,31,1,105,26,29
1958,7.905,820.0,3,38,0,118,25,42
1959,8.44,494.8,4,47,0,122,27,31
1960,8.43,655.7,2,30,0,95,34,58
1961,8.874,642.6,6,45,0,87,28,53
1962,7.136,590.0,7,39,0,120,44,77
1963,7.056,570.2,8,29,0,119,77,91
1964,7.951,584.5,13,49,0,109,49,51
1965,7.415,793.8,4,21,0,115,33,60
1966,8.668,798.6,2,29,0,91,22,53
1967,8.674,532.5,13,40,0,100,29,38
1968,7.97,637.5,1,31,0,114,35,48
1969,7.822,523.8,8,43,0,121,48,89
1970,7.724,841.9,2,37,0,112,49,85
1971,8.31,517.5,17,45,0,108,33,59
1972,7.739,536.1,9,32,0,113,36,30
1973,8.116,532.7,5,48,0,125,32,64
1974,8.861,845.4,4,28,0,60,5,27
1975,8.77,661.9,1,47,0,92,18,42
1976,8.665,538.1,14,48,0,103,35,41
1977,8.815,622.4,2,33,0,77,22,49
1978,7.658,680.0,0,23,0,109,36,74
1979,8.131,670.2,1,41,0,104,26,62
1980,7.513,620.7,2,28,0,110,36,57
1981,8.38,759.5,3,37,0,108,37,87
1982,8.623,544.6,11,49,0,103,31,42
1983,8.826,561.8,16,63,1,97,34,60
1984,7.634,603.5,3,24,0,119,24,65
1985,7.469,609.8,3,38,0,117,51,83
1986,8.035,731.5,5,46,0,104,46,62
1987,7.641,684.1,3,40,0,101,42,79
1988,9.09,734.9,8,39,0,85,14,58
1989,9.065,631.5,4,43,0,84,27,8
1990,9.145,646.3,11,49,0,88,23,45
1991,8.185,567.0,7,52,0,99,33,43
1992,9.357,622.0,19,61,0,80,21,24
1993,8.658,714.1,6,45,0,103,33,62
1994,10.168,656.0,25,62,1,67,11,11
1995,8.918,736.6,15,55,0,103,31,39
1996,7.418,569.4,6,38,0,130,52,74
1997,8.815,526.1,4,66,0,98,27,52
1998,9.247,684.2,17,56,0,89,29,45
1999,9.3,624.3,4,54,1,90,25,63
2000,9.911,645.8,13,57,0,66,15,31
2001,9.11,780.6,13,57,0,88,20,41
2002,9.595,949.6,9,49,0,78,26,26
2003,9.616,447.5,41,91,2,122,28,62
2004,8.958,656.4,12,47,0,101,27,72
2005,8.787,701.3,13,51,0,109,25,79
2006,9.344,648.4,19,58,0,104,30,76
2007,10.062,739.0,12,62,0,66,15,23
2008,9.783,566.2,19,71,0,93,7,23
2009,9.457,646.4,13,67,0,85,29,54
2010,8.267,729.9,15,47,0,106,53,100
2011,9.62,631.9,7,65,0,106,21,32
2012,9.432,666.6,14,76,0,89,23,42
2013,9.044,690.2,24,66,0,103,26,39
2014,10.514,585.6,10,59,0,66,4,11
2015,10.408,512.5,37,74,0,84,7,35
2016,9.736,689.4,16,78,0,87,17,15
2017,9.717,631.4,29,77,0,84,21,45
2018,10.874,691.7,41,105,0,84,10,24
2019,10.495,631.7,28,83,0,79,11,28
2020,10.17,712.5,24,76,0,80,9,10
2021,9.199,675.6,11,71,0,106,12,40
2022,10.783,621.1,34,89,0,80,7,26
2023,10.877,813.6,29,90,0,68,7,19
2024,3.495,88.3,0,0,0,23,7,2
