year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1958,10.6,1234.6,6,53,0,57,0,25
1959,11.563,699.6,12,76,0,52,6,19
1960,10.729,1029.4,4,32,0,34,9,8
1961,11.887,934.7,19,52,0,35,1,0
1962,10.223,906.2,11,50,0,56,4,17
1963,9.614,846.6,10,48,0,66,29,53
1964,11.189,704.9,22,68,0,57,7,9
1965,9.928,1311.6,6,33,0,52,7,46
1966,11.187,1072.1,6,43,0,37,11,17
1967,11.049,1070.5,16,58,0,40,7,21
1968,10.662,1379.9,6,43,0,59,5,20
1969,10.632,1014.5,10,57,0,53,10,42
1970,10.171,1383.9,4,50,0,56,8,41
1971,10.367,700.1,20,62,0,67,12,34
1972,10.146,703.2,9,37,0,46,3,12
1973,10.681,821.8,23,71,0,64,2,23
1974,11.169,839.6,6,46,0,23,0,3
1975,11.441,775.4,16,51,0,42,1,4
1976,11.172,771.9,22,68,0,52,5,16
1977,11.038,962.8,4,38,0,31,2,27
1978,10.023,1174.4,4,38,0,47,8,30
1979,10.309,939.4,8,55,0,47,11,37
1980,10.202,1141.3,8,38,0,47,9,25
1981,10.928,943.6,11,45,0,54,4,24
1982,11.023,1020.2,13,65,0,56,9,31
1983,12.001,1083.1,28,77,1,40,2,15
1984,10.027,1106.6,10,44,0,57,1,33
1985,10.116,871.3,13,64,0,61,20,44
1986,10.338,1185.9,18,61,0,56,19,55
1987,10.051,1239.8,11,45,0,60,17,47
1988,11.454,1368.6,7,51,0,34,0,22
1989,11.721,725.1,12,74,0,29,0,0
1990,11.873,904.0,17,59,0,31,0,1
1991,11.282,750.8,17,68,0,49,12,16
1992,11.82,859.5,23,65,0,46,3,24
1993,11.58,1051.0,13,56,0,47,6,13
1994,12.213,1292.0,25,60,0,24,3,5
1995,11.446,1222.2,17,55,0,42,7,23
1996,10.215,796.5,8,47,0,66,2,10
1997,11.638,882.1,13,65,0,43,13,14
1998,11.749,844.6,18,47,0,40,1,21
1999,11.908,1340.5,12,61,0,38,7,18
2000,12.029,1334.8,13,63,0,25,2,3
2001,11.598,1242.7,13,55,0,30,1,9
2002,11.129,943.7,6,47,0,41,11,20
2003,11.73,682.4,33,97,0,60,14,48
2004,10.733,954.7,13,50,0,53,2,19
2005,10.679,963.8,18,52,0,61,13,49
2006,10.72,1091.0,22,60,0,65,12,32
2007,11.95,1035.3,8,57,0,24,3,11
2008,11.237,873.6,7,49,0,52,1,5
2009,11.049,828.1,9,57,0,57,12,30
2010,10.415,890.8,15,46,0,55,18,43
2011,11.775,745.9,10,63,0,45,8,16
2012,11.094,1038.7,13,53,0,41,13,23
2013,10.678,945.3,17,62,0,59,11,42
2014,11.91,856.6,9,44,0,35,0,0
2015,11.693,804.9,32,64,1,56,2,29
2016,11.648,1089.2,16,65,0,29,4,18
2017,11.365,1038.7,20,65,0,51,13,32
2018,12.626,743.9,35,102,0,40,5,9
2019,11.766,986.2,29,73,0,49,3,17
2020,12.389,892.1,18,78,0,38,0,1
2021,10.855,1091.4,10,52,0,57,7,28
2022,12.585,693.9,43,89,0,49,0,4
2023,12.639,919.1,26,89,0,41,1,6
2024,12.508,1182.2,18,71,0,27,5,5
