year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1937;9.83;5;67;0;29
1938;9.64;12;54;1;20
1939;10.04;13;70;0;18
1940;8.04;0;47;0;62
1941;null;null;null;null;null
1942;null;null;null;null;null
1943;9.31;13;70;0;24
1944;null;null;null;null;null
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;null;null;null;null;null
1948;9.44;2;57;0;23
1949;9.69;8;51;0;7
1950;9.71;21;84;0;26
1951;10.11;4;65;0;12
1952;8.53;24;71;0;15
1953;9.57;2;68;0;17
1954;8.5;0;49;0;41
1955;8.42;1;47;0;27
1956;7.66;2;53;0;52
1957;9.04;11;54;0;20
1958;9.37;11;64;0;13
1959;9.46;3;47;0;14
1960;9.4;4;51;0;21
1961;9.65;11;55;0;27
1962;8.13;7;50;0;30
1963;8.63;12;58;0;56
1964;9.17;9;62;0;32
1965;8.76;5;40;0;13
1966;10.07;3;40;0;22
1967;10.07;10;58;0;16
1968;9.41;6;47;0;34
1969;8.98;4;52;0;38
1970;9.17;7;49;0;30
1971;9.54;14;68;0;27
1972;9.42;7;52;0;31
1973;9.49;9;66;0;17
1974;10.38;15;43;0;2
1975;10.4;1;72;0;2
1976;9.09;8;38;0;20
1977;9.6;3;55;0;15
1978;8.52;1;30;0;30
1979;9.35;4;54;0;21
1980;8.63;2;35;0;27
1981;9.61;5;52;0;19
1982;9.84;2;70;0;28
1983;10.15;14;73;1;19
1984;9.15;2;36;0;16
1985;8.86;5;53;0;38
1986;9.01;4;60;0;49
1987;8.85;5;54;0;39
1988;9.67;15;49;0;12
1989;10;1;50;0;16
1990;9.83;6;51;0;22
1991;9.1;4;57;0;23
1992;10.63;34;83;0;12
1993;9.85;23;77;0;26
1994;11.25;30;91;1;10
1995;10.13;15;69;0;23
1996;9;9;58;0;43
1997;9.93;3;88;0;24
1998;10.55;19;75;3;17
1999;10.6;8;71;0;15
2000;11.72;32;84;0;13
2001;11;31;79;1;10
2002;11.59;25;75;2;18
2003;10.77;51;105;6;14
2004;10.23;13;55;1;14
2005;9.59;10;61;3;21
2006;10;19;59;0;27
2007;10.92;19;75;0;15
2008;11.06;11;79;0;11
2009;10.68;10;71;0;24
2010;9.73;18;60;2;37
2011;10.52;13;84;0;21
2012;11.03;31;87;1;18
2013;10.69;26;77;0;17
2014;11.61;8;56;0;13
2015;11.55;42;78;0;2
2016;11.07;13;87;0;14
2017;10.95;34;89;0;22
2018;11.6;21;107;1;14
2019;11.97;33;92;1;6
2020;11.15;14;75;0;13
2021;10.74;27;83;1;6
2022;null;28;90;1;0
