year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1937,10.561,1053.1,8,38,1,33,3,9
1938,10.767,1224.6,7,26,2,25,4,15
1939,10.495,1213.6,5,37,0,27,3,8
1940,8.911,1062.8,0,20,0,71,30,55
1941,9.361,1145.4,11,27,0,64,19,18
1942,9.355,892.3,5,31,0,71,38,58
1948,10.198,1149.2,12,27,0,76,6,5
1949,9.448,895.0,2,33,0,63,3,2
1950,9.746,1052.0,5,27,0,43,6,3
1951,9.665,1196.7,1,24,0,40,0,4
1952,8.76,1075.9,7,20,0,73,3,10
1953,9.77,833.2,4,27,0,59,11,1
1954,8.974,1292.1,0,18,0,60,17,9
1955,8.774,916.6,1,20,0,91,12,50
1956,8.038,1172.4,0,8,0,78,27,34
1957,9.825,1287.7,9,22,1,51,5,4
1958,9.405,1171.0,0,25,0,61,5,28
1959,10.219,608.3,9,60,1,63,3,15
1960,9.795,1198.8,0,14,0,43,8,16
1961,10.28,1366.3,7,25,0,34,5,8
1962,8.234,1019.2,0,8,0,68,7,14
1963,8.203,825.0,4,20,0,91,39,66
1964,9.486,840.6,9,35,0,64,4,6
1965,8.663,1355.9,0,8,0,65,9,9
1966,9.676,1368.8,3,25,0,51,9,14
1967,9.922,1030.8,2,26,0,48,10,16
1968,9.336,1055.0,2,18,0,69,9,18
1969,9.56,979.9,8,36,0,73,8,29
1970,9.325,1335.3,1,31,0,61,11,41
1971,9.547,830.1,1,25,0,57,14,19
1972,9.116,872.2,3,13,0,48,4,9
1973,9.51,932.9,4,36,0,57,4,17
1974,9.823,1244.8,1,10,0,31,0,5
1975,10.44,831.0,10,32,3,41,1,3
1976,10.503,795.8,17,44,1,54,9,22
1977,10.144,976.2,1,14,0,45,2,13
1978,9.417,928.0,2,17,0,57,7,20
1979,9.195,1007.9,1,18,0,68,18,55
1980,9.479,1108.1,2,18,0,64,10,22
1981,9.867,1361.4,2,21,0,64,7,33
1982,10.49,963.9,9,38,1,49,6,9
1983,10.289,1034.4,11,51,0,61,4,28
1984,9.637,1245.9,5,17,1,42,0,12
1985,8.736,1122.9,2,22,0,82,28,52
1986,9.459,1128.6,7,32,0,60,19,33
1987,8.804,1193.6,3,23,0,76,24,40
1988,10.259,1160.5,2,27,0,44,0,12
1989,10.941,950.1,8,55,1,37,0,0
1990,10.876,1061.7,9,36,0,28,0,5
1991,9.675,927.6,7,30,1,66,10,17
1992,10.776,1197.6,9,47,1,26,1,4
1993,10.044,1118.1,3,30,0,62,8,0
1994,11.275,1080.4,21,46,2,28,1,1
1995,10.915,1037.2,22,58,1,47,6,7
1996,9.155,850.5,3,22,0,75,10,17
1997,10.38,950.3,8,41,0,44,12,17
1998,10.383,1436.2,8,24,0,45,0,9
1999,11.161,1270.2,9,50,0,33,2,18
2000,11.433,1276.2,5,31,0,20,0,2
2001,10.838,1224.6,10,40,0,43,0,10
2002,11.081,1180.3,7,31,0,37,1,7
2003,11.055,831.8,18,64,2,65,10,8
2004,10.361,1182.6,7,32,1,54,2,17
2005,10.987,1121.2,9,50,0,49,3,25
2006,11.469,1100.2,21,62,1,57,3,12
2007,11.214,1373.4,5,25,0,30,1,1
2008,10.428,1057.3,2,29,0,55,0,6
2009,10.556,987.2,3,34,0,49,7,11
2010,9.292,969.5,11,35,0,81,29,55
2011,10.936,1018.0,2,34,0,48,3,7
2012,10.072,974.9,4,32,0,48,13,4
2013,9.694,864.6,10,35,0,76,14,26
2014,11.497,933.9,3,29,0,25,0,0
2015,10.703,1050.6,14,36,2,47,0,6
2016,10.701,1036.6,12,41,0,53,1,2
2017,10.882,1091.1,5,37,0,52,3,9
2018,11.076,722.1,8,75,1,61,10,7
2019,11.211,1031.1,17,49,1,44,2,5
2020,11.682,941.6,14,46,0,30,0,1
2021,10.371,1129.6,3,35,1,58,5,10
2022,11.735,942.2,20,60,0,39,3,0
2023,11.801,1342.9,12,50,0,43,0,3
