year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1950,7.119,974.4,0,6,0,101,28,64
1951,6.875,715.2,0,4,0,94,29,73
1952,6.438,891.7,2,15,1,99,54,92
1953,7.414,480.0,0,7,0,85,44,64
1954,5.694,823.8,0,6,0,118,42,76
1955,5.605,739.3,0,4,0,131,55,75
1956,4.897,826.6,0,0,0,118,47,82
1957,7.099,711.9,3,11,1,77,18,47
1958,6.267,514.9,0,1,0,101,49,87
1959,7.903,505.5,0,7,0,88,22,43
1960,6.525,692.1,0,1,0,87,38,54
1961,7.434,859.1,0,8,0,74,24,45
1962,5.569,563.9,0,4,0,112,41,77
1963,5.046,762.0,0,6,0,119,59,79
1964,6.201,650.4,0,17,0,107,47,59
1965,5.531,914.2,0,1,0,112,55,95
1966,6.92,881.6,0,4,0,87,34,57
1967,7.257,821.3,0,9,0,89,20,69
1968,6.503,965.1,0,4,0,106,26,90
1969,6.694,935.3,0,11,0,104,35,90
1970,5.769,836.0,0,5,0,110,55,110
1971,6.547,483.6,0,13,0,102,29,79
1972,6.131,769.6,0,7,0,102,33,58
1973,6.513,772.6,0,20,0,121,33,99
1974,5.988,888.8,1,5,0,109,14,68
1975,6.983,633.4,0,15,0,99,9,58
1976,6.513,625.0,2,24,0,104,35,57
1977,6.829,865.0,0,7,0,74,23,55
1978,5.787,683.7,1,14,0,99,39,77
1979,5.2,818.8,0,8,0,118,38,93
1980,5.572,904.8,0,2,0,118,36,70
1981,6.825,990.0,0,6,0,90,44,77
1982,7.149,667.3,0,13,0,101,24,68
1983,7.567,862.8,0,13,0,87,35,65
1984,6.236,937.1,0,6,0,108,46,102
1985,6.081,744.5,0,3,0,99,47,69
1986,6.956,857.6,0,3,0,84,51,89
1987,5.933,904.5,1,7,0,92,57,86
1988,7.08,830.3,0,11,0,94,34,81
1989,8.097,754.7,0,8,0,76,6,19
1990,7.633,711.8,0,10,0,69,13,33
1991,6.538,591.3,1,18,0,100,29,50
1992,7.489,1019.2,2,16,0,105,19,62
1993,7.041,936.3,0,9,0,94,29,58
1994,7.748,962.5,2,26,0,90,20,61
1995,7.463,1061.2,1,21,0,91,29,64
1996,5.494,782.4,0,6,0,103,54,96
1997,7.667,812.4,0,21,0,92,22,57
1998,7.348,1245.3,2,9,0,58,19,40
1999,7.588,987.0,0,11,0,81,29,55
2000,7.743,1142.3,1,10,0,70,26,57
2001,7.399,1067.9,0,17,0,85,32,66
2002,5.309,661.2,1,3,0,65,22,39
2007,8.66,1145.4,0,9,1,52,10,21
2008,8.385,748.0,0,15,0,63,15,31
2009,7.918,863.0,0,6,0,89,34,76
2010,6.872,874.2,3,14,1,88,53,69
2011,8.537,720.6,0,9,0,75,26,27
2012,7.736,849.7,0,12,0,77,26,57
2013,7.006,880.0,2,15,1,90,61,85
2014,9.205,721.5,0,9,0,58,11,18
2015,8.33,671.8,5,27,1,90,30,67
2016,8.052,831.8,0,14,0,87,22,52
2017,8.383,902.6,0,13,0,71,26,39
2018,9.569,651.9,4,35,1,71,35,51
2019,8.996,907.5,5,24,2,74,20,46
2020,9.357,754.7,3,14,1,65,4,20
2021,7.721,913.1,0,7,1,90,35,53
2022,9.719,726.7,6,28,0,75,15,45
2023,9.42,1059.6,1,24,0,62,20,43
