endDate;heatDays;summerDays;tropicalNights;iceDays
1851-11-26;null;null;null;null
1852-11-26;null;null;null;null
1853-11-26;null;null;null;null
1854-11-26;null;null;null;null
1855-11-26;null;null;null;null
1856-11-26;27;62;1;14
1857-11-26;24;81;1;28
1858-11-26;14;66;1;49
1859-11-26;32;68;9;8
1860-11-26;13;53;0;24
1861-11-26;28;76;3;20
1862-11-26;null;null;null;null
1863-11-26;33;85;6;0
1864-11-26;8;50;0;31
1865-11-26;null;null;null;null
1866-11-26;10;65;2;4
1867-11-26;15;69;0;17
1868-11-26;19;84;9;13
1869-11-26;12;62;5;18
1870-11-26;11;51;5;27
1871-11-26;6;49;1;31
1872-11-26;8;57;3;16
1873-11-26;16;59;1;14
1874-11-26;8;60;0;19
1875-11-26;8;48;0;42
1876-11-26;5;45;1;46
1877-11-26;10;56;1;13
1878-11-26;3;35;0;21
1879-11-26;5;41;0;26
1880-11-26;7;40;0;29
1881-11-26;10;52;1;32
1882-11-26;6;35;1;6
1883-11-26;6;46;2;20
1884-11-26;7;35;2;11
1885-11-26;9;57;0;21
1886-11-26;7;57;1;28
1887-11-26;13;50;1;37
1888-11-26;2;36;0;45
1889-11-26;6;40;1;38
1890-11-26;7;35;1;19
1891-11-26;2;30;0;40
1892-11-26;8;40;2;28
1893-11-26;3;47;2;29
1894-11-26;10;39;0;19
1895-11-26;7;50;1;42
1896-11-26;2;32;1;21
1897-11-26;3;38;0;15
1898-11-26;2;38;0;8
1899-11-26;5;38;0;4
1900-11-26;5;35;2;10
1901-11-26;2;51;2;32
1902-11-26;2;32;0;6
1903-11-26;1;36;1;13
1904-11-26;9;44;1;27
1905-11-26;3;42;4;16
1906-11-26;0;29;0;10
1907-11-26;0;39;0;26
1908-11-26;2;34;0;22
1909-11-26;0;28;0;34
1910-11-26;1;20;0;6
1911-11-26;6;47;1;17
1912-11-26;0;11;0;21
1913-11-26;0;14;0;23
1914-11-26;0;30;0;41
1915-11-26;0;22;0;13
1916-11-26;1;25;0;6
1917-11-26;3;54;2;30
1918-11-26;0;22;0;15
1919-11-26;1;24;0;20
1920-11-26;0;20;0;9
1921-11-26;10;41;3;6
1922-11-26;4;38;1;30
1923-11-26;2;37;1;11
1924-11-26;0;17;1;42
1925-11-26;0;24;0;10
1926-11-26;0;18;0;10
1927-11-26;1;36;0;5
1928-11-26;10;48;1;7
1929-11-26;5;47;2;53
1930-11-26;4;43;1;16
1931-11-26;7;49;2;20
1932-11-26;5;56;3;30
1933-11-26;6;28;2;29
1934-11-26;8;45;2;14
1935-11-26;4;46;2;24
1936-11-26;1;41;0;6
1937-11-26;1;44;0;21
1938-11-26;8;43;1;10
1939-11-26;5;39;0;3
1940-11-26;0;16;0;54
1941-11-26;0;24;0;31
1942-11-26;2;37;0;51
1943-11-26;5;35;1;20
1944-11-26;0;35;1;14
1945-11-26;6;56;3;28
1946-11-26;11;52;0;25
1947-11-26;12;67;5;47
1948-11-26;2;38;0;15
1949-11-26;6;39;3;16
1950-11-26;8;58;4;23
1951-11-26;1;42;1;7
1952-11-26;13;49;3;16
1953-11-26;7;61;0;11
1954-11-26;7;51;0;41
1955-11-26;1;37;0;25
1956-11-26;3;47;0;40
1957-11-26;10;53;4;11
1958-11-26;9;52;0;10
1959-11-26;5;44;1;15
1960-11-26;2;35;1;19
1961-11-26;11;52;2;18
1962-11-26;14;58;0;12
1963-11-26;17;60;4;43
1964-11-26;17;59;0;33
1965-11-26;5;38;0;19
1966-11-26;2;34;0;21
1967-11-26;17;51;2;10
1968-11-26;10;47;0;12
1969-11-26;6;53;1;23
1970-11-26;4;48;0;26
1971-11-26;15;59;2;30
1972-11-26;13;42;4;20
1973-11-26;9;58;1;7
1974-11-26;11;49;2;3
1975-11-26;0;56;0;1
1976-11-26;8;46;2;11
1977-11-26;2;54;0;11
1978-11-26;2;38;0;12
1979-11-26;6;52;1;17
1980-11-26;4;30;2;21
1981-11-26;11;57;2;9
1982-11-26;6;68;1;30
1983-11-26;21;77;5;9
1984-11-26;8;39;1;6
1985-11-26;11;56;0;36
1986-11-26;13;66;3;27
1987-11-26;5;54;3;34
1988-11-26;19;56;5;6
1989-11-26;4;47;3;6
1990-11-26;16;60;3;12
1991-11-26;12;52;5;16
1992-11-26;28;71;10;2
1993-11-26;15;63;2;24
1994-11-26;28;75;9;7
1995-11-26;15;64;1;13
1996-11-26;6;45;0;37
1997-11-26;3;63;1;17
1998-11-26;20;65;8;9
1999-11-26;9;58;2;15
2000-11-26;26;73;4;12
2001-11-26;21;66;5;6
2002-11-26;18;77;3;10
2003-11-26;40;102;11;18
2004-11-26;9;54;1;13
2005-11-26;12;65;4;20
2006-11-26;22;61;13;22
2007-11-26;22;84;6;3
2008-11-26;8;74;1;3
2009-11-26;14;74;1;20
2010-11-26;15;56;8;23
2011-11-26;18;77;5;14
2012-11-26;31;89;5;15
2013-11-26;26;68;13;16
2014-11-26;13;60;4;6
2015-11-26;42;78;23;2
2016-11-26;20;85;5;8
2017-11-26;38;85;10;22
2018-11-26;37;113;16;9
2019-11-26;38;87;15;4
2020-11-26;21;76;0;2
2021-11-26;24;83;8;5
2022-11-26;31;93;8;1
