year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1950,0.386,100.9,0,0,0,34,18,22
1951,1.089,47.8,0,0,0,34,13,24
1952,0.198,39.5,0,0,0,42,18,31
1953,-0.222,69.2,0,0,0,48,25,44
1954,-3.942,54.7,0,0,0,52,36,31
1955,-2.831,86.4,0,0,0,59,32,49
1956,-4.995,77.2,0,0,0,52,32,37
1957,2.003,68.9,0,0,0,31,5,13
1958,0.964,92.7,0,0,0,48,6,31
1959,0.795,29.3,0,0,0,46,11,38
1960,0.442,113.3,0,0,0,39,14,33
1961,1.786,62.3,0,0,0,36,9,22
1962,0.675,73.4,0,0,0,39,16,19
1963,-7.344,33.2,0,0,0,64,52,64
1964,-1.945,48.3,0,0,0,53,22,38
1965,-0.78,116.1,0,0,0,45,22,43
1966,0.114,88.8,0,0,0,36,25,31
1967,2.072,60.0,0,0,0,29,9,12
1968,-0.742,99.4,0,0,0,54,20,32
1969,-0.967,98.7,0,0,0,50,20,44
1970,-2.189,168.7,0,0,0,51,27,53
1971,-0.267,31.8,0,0,0,39,13,28
1972,-0.365,13.1,0,0,0,46,16,31
1973,0.8,72.4,0,0,0,42,6,17
1974,3.348,82.4,0,0,0,27,1,2
1975,3.266,47.7,0,0,0,28,2,4
1976,0.652,103.5,0,0,0,39,17,26
1977,2.2,110.0,0,0,0,31,6,21
1978,0.447,37.1,0,0,0,42,12,33
1979,-3.228,62.4,0,0,0,62,28,61
1980,-0.355,61.1,0,0,0,49,17,28
1981,-0.839,69.9,0,0,0,54,17,46
1982,-0.902,45.7,0,0,0,45,15,15
1983,1.103,72.8,0,0,0,40,12,26
1984,0.105,90.7,0,0,0,47,10,22
1985,-4.095,56.1,0,0,0,54,33,40
1986,-3.911,79.4,0,0,0,53,35,46
1987,-4.577,153.2,0,0,0,58,28,51
1988,2.492,106.3,0,0,0,34,3,17
1989,3.1,45.0,0,0,0,25,1,0
1990,4.339,49.9,0,0,0,21,4,3
1991,0.0,26.5,0,0,0,17,2,2
2008,4.005,62.6,0,0,0,20,3,0
2009,-0.814,49.8,0,0,0,51,23,35
2010,-2.733,47.9,0,0,0,56,37,54
2011,0.623,38.7,0,0,0,43,17,21
2012,-0.358,66.0,0,0,0,33,18,21
2013,-0.873,78.2,0,0,0,48,28,46
2014,3.25,29.7,0,0,0,21,7,12
2015,1.547,50.1,0,0,0,42,7,19
2016,1.925,83.0,0,0,0,35,13,16
2017,0.373,45.9,0,0,0,44,20,27
2018,0.172,39.3,0,0,0,40,15,13
2019,2.6,70.4,0,0,0,32,7,15
2020,4.36,110.5,0,0,0,14,1,1
2021,0.833,116.4,0,0,0,40,16,41
2022,3.253,93.8,0,0,0,25,0,6
2023,3.002,66.6,0,0,0,32,8,10
2024,4.049,90.5,0,0,0,17,8,13
