year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1993;9.33;14;58;1;29
1994;10.54;24;69;1;14
1995;9.23;5;57;0;27
1996;7.89;4;39;0;51
1997;8.88;2;56;0;20
1998;9.62;17;58;1;23
1999;9.58;5;47;0;22
2000;10.57;21;69;1;15
2001;9.63;16;60;1;17
2002;10.36;9;58;1;25
2003;9.76;31;89;2;29
2004;9.61;6;50;0;24
2005;9.36;9;62;0;29
2006;9.81;19;59;3;26
2007;10.8;20;73;1;17
2008;10.42;6;68;0;10
2009;10.14;12;77;0;29
2010;9.03;18;54;0;42
2011;9.99;14;73;0;21
2012;10.21;25;74;0;21
2013;10.03;26;67;2;24
2014;11.06;6;57;0;14
2015;11.18;40;75;4;4
2016;10.59;14;78;0;12
2017;10.65;34;81;2;20
2018;11.37;24;98;0;18
2019;11.33;32;82;0;5
2020;10.87;17;73;0;6
2021;10.27;20;80;1;9
2022;11.26;29;95;0;4
2023;null;0;0;0;1
