year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1937;7.09;0;5;0;47
1938;7.02;0;10;0;42
1939;6.89;0;10;0;51
1940;5.31;0;3;0;74
1941;null;null;null;null;null
1942;null;null;null;null;null
1943;7.66;2;17;1;40
1944;6.29;0;12;0;66
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;null;null;null;null;null
1948;null;null;null;null;null
1949;null;null;null;null;null
1950;null;null;null;null;null
1951;null;null;null;null;null
1952;null;null;null;null;null
1953;7.61;0;17;0;57
1954;6.13;0;13;0;56
1955;6.37;0;4;0;57
1956;6.23;0;18;0;70
1957;7.78;5;14;4;29
1958;null;null;null;null;null
1959;null;null;null;null;null
1960;7.4;0;11;0;36
1961;8.19;1;20;0;34
1962;6.36;1;23;0;58
1963;6.75;0;19;0;63
1964;7.04;0;25;0;53
1965;6.61;1;14;0;53
1966;7.85;1;18;0;46
1967;8.22;1;28;0;35
1968;7.73;2;23;0;45
1969;7.31;2;20;0;62
1970;7.18;0;24;0;49
1971;7.97;1;20;0;30
1972;7.29;0;17;0;31
1973;7.38;0;19;0;39
1974;7.84;3;16;1;13
1975;8.03;0;6;0;19
1976;7.55;1;19;0;39
1977;null;null;null;null;null
1978;null;null;null;null;null
1979;null;null;null;null;null
1980;null;null;null;null;null
1981;null;null;null;null;null
1982;null;null;null;null;null
1983;null;null;null;null;null
1984;5.11;0;8;0;69
1985;5.16;0;7;0;74
1986;5.28;0;6;0;74
1987;5.32;0;5;0;70
1988;5.99;0;13;0;54
1989;6.53;0;2;0;30
1990;6.39;0;8;0;44
1991;5.3;0;5;0;65
1992;6.74;0;22;0;38
1993;5.94;0;10;0;68
1994;7.44;0;22;0;33
1995;5.97;0;6;0;60
1996;4.98;0;3;0;80
1997;null;null;null;null;null
1998;6.41;0;12;0;53
1999;6.39;0;6;0;53
2000;7.25;0;16;0;43
2001;6.54;0;15;0;56
2002;7.16;0;10;0;38
2003;6.81;1;35;0;53
2004;6.03;0;9;0;61
2005;5.72;0;9;0;85
2006;6.44;0;14;0;60
2007;7.53;6;22;0;40
2008;7.43;3;18;0;28
2009;6.85;0;11;0;54
2010;5.79;0;17;0;78
2011;7.19;1;15;0;40
2012;6.79;1;23;0;54
2013;6.57;5;21;0;55
2014;7.84;0;5;0;20
2015;7.71;1;35;0;33
2016;7.23;0;9;0;32
2017;7.12;0;23;0;45
2018;7.62;0;17;0;60
2019;null;null;null;null;null
2020;null;null;null;null;null
2021;null;null;null;null;null
2022;null;null;null;null;null
2023;null;0;0;0;0
