year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1955,6.991,711.3,1,17,0,136,39,80
1956,6.433,709.1,0,21,0,123,45,57
1957,7.862,698.8,7,29,0,108,21,27
1958,7.716,905.2,4,34,0,112,21,47
1959,8.253,546.3,4,48,0,137,19,22
1960,8.029,743.4,3,24,0,108,24,52
1961,8.348,741.0,3,35,0,95,27,55
1962,6.786,644.5,7,38,0,130,37,77
1963,6.762,717.3,5,30,0,121,57,88
1964,7.892,541.5,14,50,0,115,30,52
1965,7.333,965.2,4,21,0,122,20,66
1966,8.233,866.8,1,23,0,95,17,34
1967,8.322,605.8,3,33,0,107,19,27
1968,7.778,781.7,0,22,0,118,37,36
1969,7.752,558.4,6,35,0,120,47,79
1970,7.772,895.6,1,32,0,114,40,70
1971,7.981,582.4,10,36,0,117,31,48
1972,7.445,585.1,6,24,0,133,30,27
1973,7.753,660.7,4,42,0,135,23,51
1974,8.572,1041.3,4,20,0,81,3,8
1975,8.492,664.7,1,41,0,101,13,26
1976,8.138,758.7,11,39,0,104,34,46
1977,8.485,763.2,1,22,0,85,18,32
1978,7.365,853.4,0,18,0,118,37,54
1979,7.936,748.8,1,31,0,114,22,57
1980,7.279,814.7,3,22,0,112,30,67
1981,8.142,1049.3,1,32,0,117,38,97
1982,8.568,805.5,7,50,0,115,25,43
1983,8.772,720.1,12,57,0,104,28,55
1984,7.728,711.2,3,21,0,127,20,65
1985,7.239,821.7,6,33,0,134,46,86
1986,7.79,960.2,1,46,0,117,30,62
1987,7.676,956.3,2,31,0,112,35,65
1988,8.975,964.4,3,27,0,89,8,39
1989,8.903,731.0,4,31,0,95,22,6
1990,8.967,762.0,6,38,0,108,22,41
1991,8.104,697.4,4,41,0,110,26,33
1992,9.32,763.8,15,51,0,97,18,16
1993,8.691,841.1,2,39,0,102,30,33
1994,10.095,790.2,22,52,0,72,8,16
1995,8.932,822.6,12,48,0,105,27,41
1996,7.474,607.0,3,29,0,128,41,31
1997,8.752,670.3,1,49,0,106,20,43
1998,9.118,799.1,13,44,0,101,23,32
1999,9.189,816.6,3,45,0,94,25,48
2000,8.534,436.6,5,24,0,51,7,10
2005,8.688,626.6,10,45,0,99,27,66
2006,8.552,625.1,13,51,0,118,24,63
2007,9.23,776.8,8,47,0,109,13,9
2008,8.809,640.0,7,46,0,120,7,0
2009,8.549,691.5,5,50,0,106,28,0
2010,7.637,743.7,13,42,0,130,54,0
2011,9.05,650.0,7,50,0,119,14,0
2012,8.782,589.6,13,59,0,109,25,0
2013,8.52,663.8,16,48,0,104,28,0
2014,9.812,595.5,9,46,0,89,5,5
2015,9.701,536.5,30,63,0,116,9,38
2016,9.188,595.3,11,61,0,101,14,20
2017,9.078,709.3,18,59,0,107,16,42
2018,10.185,665.9,26,85,0,96,13,32
2019,9.62,621.8,19,68,0,99,8,19
2020,9.425,655.7,12,57,0,107,4,10
2021,8.402,782.7,6,47,0,131,11,49
2022,10.0,612.6,19,74,0,98,11,18
2023,10.183,795.2,23,77,0,95,7,20
2024,12.102,671.5,17,66,0,50,5,4
