year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1937,8.593,677.2,3,19,0,105,31,45
1938,9.299,511.5,2,30,0,82,19,21
1939,8.719,703.0,4,31,1,89,16,7
1940,6.168,589.1,0,18,0,140,66,15
1941,6.919,649.4,7,23,2,130,42,46
1942,7.013,650.8,4,26,0,141,55,80
1943,9.188,358.1,8,28,0,95,17,26
1944,9.72,585.5,10,40,1,75,1,8
1947,7.605,0.0,7,35,0,114,59,0
1948,9.01,0.0,4,24,0,93,16,0
1949,9.418,0.0,1,26,0,74,8,0
1950,8.627,0.0,4,24,0,80,22,0
1951,8.798,502.5,4,25,0,90,16,23
1952,7.768,524.4,3,19,0,119,14,43
1953,9.307,473.6,5,33,0,96,18,37
1954,7.526,565.8,2,9,0,103,36,54
1955,7.59,513.9,0,12,0,123,42,62
1956,6.852,643.2,0,4,0,108,42,53
1957,8.504,413.9,4,17,0,86,10,15
1958,8.021,630.2,0,12,0,105,20,47
1959,8.984,417.3,5,20,0,82,25,30
1960,8.199,692.4,1,11,0,76,19,41
1961,8.784,589.3,1,11,0,68,20,19
1962,7.239,549.4,0,5,0,91,28,43
1963,7.026,442.8,3,19,0,122,68,84
1964,8.009,538.8,4,23,0,107,34,39
1965,7.332,598.1,0,8,0,104,28,69
1966,8.279,666.3,1,16,0,92,36,49
1967,9.128,686.0,1,18,0,75,13,35
1968,8.293,696.5,0,16,0,93,30,35
1969,7.04,619.0,3,25,0,123,62,98
1970,7.166,688.1,3,14,0,109,48,95
1971,8.583,472.3,12,31,1,74,21,46
1972,7.814,559.7,1,24,2,92,25,15
1973,8.42,525.4,3,27,1,88,13,23
1974,8.743,556.1,3,10,0,51,3,10
1975,9.055,403.6,1,37,0,66,5,7
1976,7.682,485.0,1,19,0,101,30,62
1977,8.71,646.9,1,8,0,67,15,38
1978,8.146,550.4,3,15,0,81,26,46
1979,7.319,550.0,2,21,0,103,50,78
1980,7.508,660.5,1,9,0,109,40,56
1981,8.772,632.1,0,14,0,80,25,0
1982,8.848,393.4,3,23,0,73,31,0
1983,9.189,489.3,1,19,0,70,12,0
1984,8.166,465.7,3,11,0,88,21,0
1985,7.334,500.7,0,13,0,92,50,0
1986,7.917,491.3,2,24,1,82,38,0
1987,7.09,624.4,1,11,0,96,45,0
1988,9.204,446.6,0,16,1,63,6,0
1989,9.916,408.8,5,25,0,57,9,0
1990,9.972,501.7,1,13,0,36,5,0
1991,9.215,442.0,4,17,0,65,17,19
1992,9.508,448.0,8,26,2,66,12,1
1993,8.473,613.0,2,14,0,84,19,41
1994,9.469,518.3,7,31,5,60,11,19
1995,8.769,667.8,4,28,0,93,23,31
1996,6.85,450.7,2,22,0,132,57,63
1997,8.83,568.0,4,26,0,96,20,20
1998,8.981,709.2,1,11,0,69,20,36
1999,9.777,615.6,3,30,1,61,8,36
2000,9.97,611.3,4,19,0,51,10,18
2001,8.904,540.1,3,23,0,87,12,30
2002,9.485,625.0,3,32,1,83,22,14
2003,8.892,422.0,5,33,0,112,21,28
2004,8.925,552.8,0,11,0,81,14,12
2005,9.059,472.2,4,24,0,87,15,0
2006,9.514,438.9,7,38,0,82,27,0
2007,9.905,656.3,2,15,0,53,6,0
2008,9.784,542.8,2,16,0,61,4,2
2009,9.107,506.0,2,34,0,87,19,21
2010,7.783,665.4,6,28,2,124,63,85
2011,9.48,735.3,1,21,0,84,17,10
2012,8.783,542.1,3,19,0,82,27,32
2013,9.192,566.2,5,28,1,90,23,61
2014,10.345,557.5,3,30,2,49,17,12
2015,9.938,470.5,6,31,1,67,2,8
2016,9.669,424.6,4,36,1,80,11,3
2017,9.559,768.9,2,18,0,68,13,11
2018,10.204,377.7,6,54,3,74,12,25
2019,10.663,476.8,11,42,1,55,6,1
2020,10.475,476.4,2,31,0,44,1,0
2021,9.615,476.1,5,28,5,73,20,30
2022,10.191,394.8,11,29,0,72,9,18
2023,11.667,451.9,4,35,0,45,1,4
