year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1939,10.172,559.3,2,34,0,44,6,13
1940,8.478,468.8,0,25,0,75,42,56
1941,9.315,519.0,10,26,0,67,27,34
1942,9.165,409.8,4,33,0,78,43,51
1943,10.97,381.5,12,34,0,49,7,13
1944,0.0,0.0,0,0,0,305,305,0
1947,10.674,350.6,37,77,0,83,43,54
1948,10.986,535.0,11,27,0,43,6,13
1949,11.069,315.1,5,48,0,58,8,6
1950,10.675,611.7,7,30,0,49,7,9
1951,10.44,466.0,3,30,0,47,1,11
1952,10.432,472.4,14,34,1,61,11,27
1953,10.966,289.6,9,43,0,66,15,34
1954,9.662,466.5,3,21,0,56,26,13
1955,9.275,522.7,2,23,0,85,22,54
1956,8.828,497.1,0,12,0,70,27,38
1957,10.784,565.3,10,26,0,43,6,5
1958,10.142,627.6,0,28,0,66,8,20
1959,11.421,298.2,9,62,0,60,5,15
1960,10.39,631.4,0,16,0,38,9,15
1961,11.241,622.1,4,28,0,34,6,17
1962,9.556,370.4,2,22,0,57,7,11
1963,8.994,531.7,6,29,0,74,43,69
1964,10.277,375.6,16,49,1,58,17,22
1965,9.612,615.0,0,16,0,54,9,30
1966,10.792,706.8,4,30,0,39,15,12
1967,11.173,592.9,4,31,0,38,5,10
1968,10.425,633.9,2,20,0,52,5,23
1969,10.345,479.5,7,42,2,65,17,35
1970,9.726,573.1,1,28,0,68,20,47
1971,10.298,391.2,6,38,0,57,21,22
1972,9.7,510.6,6,21,1,55,8,11
1973,10.733,366.3,13,50,1,51,6,6
1974,10.563,549.9,3,22,0,22,0,1
1975,11.297,445.7,11,47,0,36,0,3
1976,11.22,261.5,20,59,1,58,11,16
1977,10.713,543.8,2,22,0,34,1,8
1978,9.96,403.0,2,20,0,50,13,28
1979,9.408,506.9,3,25,0,71,22,63
1980,9.805,553.9,1,20,0,48,12,5
1981,10.344,805.5,3,23,0,54,17,43
1982,10.697,542.8,9,51,0,56,18,27
1983,11.379,538.5,13,56,0,42,9,27
1984,9.895,782.6,5,24,1,51,2,13
1985,9.34,512.4,2,31,0,69,29,47
1986,9.859,546.2,6,48,0,59,24,48
1987,9.272,580.4,1,25,1,66,24,44
1988,11.207,555.9,3,40,1,42,0,5
1989,11.766,497.5,8,52,0,29,4,0
1990,11.845,494.1,11,46,0,26,4,3
1991,10.55,403.6,9,47,0,58,15,20
1992,11.319,609.8,9,55,0,44,6,2
1993,10.982,527.4,3,43,0,55,13,3
1994,11.6,603.2,21,48,2,38,3,8
1995,11.654,634.2,16,57,0,42,6,7
1996,9.438,463.8,4,36,0,72,25,30
1997,11.034,381.9,9,49,0,51,14,26
1998,11.484,657.3,12,38,0,38,4,2
1999,11.901,497.4,8,56,0,38,4,12
2000,11.837,555.3,6,47,0,35,4,1
2001,11.415,565.9,11,49,0,50,4,13
2002,11.514,640.0,7,40,0,42,9,20
2003,11.559,377.4,21,84,3,70,12,7
2004,11.153,528.8,10,41,0,54,5,12
2005,11.427,541.7,13,49,0,49,10,21
2006,10.589,562.6,16,52,0,70,16,16
2007,11.558,688.4,2,33,0,38,4,4
2008,10.966,535.8,6,35,0,52,2,2
2009,10.506,495.2,3,36,0,66,14,22
2010,9.843,515.0,12,41,1,73,28,49
2011,11.215,387.8,4,50,0,61,9,9
2012,10.531,545.5,7,37,0,50,14,10
2013,10.159,493.2,10,46,0,74,20,35
2014,11.879,523.5,5,38,0,43,0,0
2015,11.099,411.3,23,51,1,55,1,2
2016,11.314,451.2,14,52,0,54,4,9
2017,11.157,543.9,10,47,0,55,10,9
2018,12.195,473.7,25,84,0,54,10,5
2019,11.698,516.0,19,57,0,51,5,7
2020,12.056,512.5,13,61,0,41,2,3
2021,10.415,565.1,3,42,0,67,8,14
2022,12.432,474.5,25,81,0,41,0,1
2023,12.177,575.0,14,65,0,43,4,3
