year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1995;6.58;1;11;0;39
1996;null;null;null;null;null
1997;null;null;null;null;null
1998;null;null;null;null;null
1999;null;null;null;null;null
2000;null;null;null;null;null
2001;null;null;null;null;null
2002;null;null;null;null;null
2003;null;null;null;null;null
2004;null;null;null;null;null
2005;null;null;null;null;null
2006;null;null;null;null;null
2007;null;null;null;null;null
2008;null;null;null;null;null
2009;null;null;null;null;null
2010;5.29;0;15;0;57
2011;7.65;0;13;0;22
2012;6.44;1;18;0;43
2013;null;null;null;null;null
2014;7.79;0;9;0;13
2015;7.67;3;34;0;28
2016;7.31;0;13;0;20
2017;7.15;1;25;1;35
2018;7.89;0;12;0;32
2019;7.28;4;25;0;21
2020;7.63;0;13;0;13
2021;6.33;0;12;0;39
2022;8.16;2;22;0;24
2023;null;0;0;0;18
