year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1948,7.576,752.7,0,16,0,93,20,42
1949,7.654,628.8,1,30,0,109,31,64
1950,7.15,969.1,0,20,0,112,37,72
1951,7.356,761.2,0,10,0,115,20,20
1952,6.387,1087.2,4,21,1,128,65,109
1953,7.683,592.7,0,17,0,96,44,67
1954,5.822,932.2,0,9,0,121,48,94
1955,5.743,771.5,0,5,0,141,67,92
1956,5.107,1019.8,0,1,0,133,64,97
1957,7.09,890.6,4,12,1,99,29,50
1958,6.537,906.2,0,9,0,120,52,87
1959,7.916,588.0,2,14,1,104,29,40
1960,6.956,901.8,0,5,0,99,42,64
1961,7.89,997.5,0,14,0,86,28,48
1962,5.834,731.1,0,7,0,128,50,97
1963,10.4,694.6,1,11,0,25,10,1
1964,6.764,611.0,7,27,0,111,49,91
1965,5.907,1115.8,0,9,0,129,45,109
1966,7.287,1079.2,1,13,0,104,33,63
1967,7.422,851.4,1,21,0,100,27,58
1968,6.59,881.1,0,14,0,122,46,86
1969,6.784,860.8,3,21,0,123,48,99
1970,6.274,1137.8,0,13,0,122,46,112
1971,6.621,691.4,3,22,0,120,30,84
1972,6.46,768.8,0,13,0,108,26,44
1973,6.402,803.2,0,18,0,142,32,99
1974,6.986,1133.0,2,9,0,97,12,55
1975,7.334,763.9,0,22,0,129,10,47
1976,7.057,687.4,3,27,0,126,34,67
1977,7.076,1120.6,0,5,0,97,27,69
1978,6.018,766.1,0,9,0,124,46,97
1979,6.065,932.4,0,11,0,126,40,100
1980,5.737,1033.7,0,6,0,127,47,91
1981,6.725,1251.6,0,13,0,111,51,100
1982,7.354,787.0,0,30,0,106,27,94
1983,7.21,923.9,3,33,0,113,45,93
1984,6.12,974.4,1,7,0,125,36,101
1985,5.638,764.7,0,8,0,129,57,105
1986,6.328,1084.3,0,20,0,106,49,87
1987,5.334,983.2,0,3,0,122,65,94
1988,7.249,1139.5,0,13,0,110,23,98
1989,7.491,919.1,1,11,0,112,26,42
1990,7.466,957.3,1,19,0,108,22,46
1991,6.62,671.4,2,17,0,127,34,42
1992,7.643,946.2,4,21,0,120,17,55
1993,6.801,889.4,0,17,0,116,39,63
1994,8.305,1105.9,10,37,0,92,16,30
1995,7.283,1261.7,3,32,0,116,39,60
1996,5.711,808.7,0,11,0,132,55,107
1997,7.08,888.4,0,21,0,124,25,59
1998,7.225,1324.6,5,20,0,98,37,61
1999,7.74,992.9,1,22,0,99,28,55
2000,8.365,974.7,2,22,0,66,17,40
2001,7.607,1030.5,3,26,0,89,19,50
2002,8.032,1073.7,2,22,0,81,25,35
2003,8.064,654.3,15,55,0,115,29,61
2004,7.285,969.8,0,18,0,103,34,69
2005,7.405,896.2,2,29,0,110,46,83
2006,7.773,1048.0,5,27,0,97,54,88
2007,8.326,1332.7,2,16,0,72,14,41
2008,7.818,1026.8,1,21,0,95,28,54
2009,7.675,1011.0,0,11,0,98,38,85
2010,6.359,1005.7,8,26,0,113,69,100
2011,8.145,719.9,1,20,0,101,30,52
2012,7.358,858.8,2,23,0,97,42,74
2013,6.812,916.1,6,26,1,116,65,94
2014,8.904,689.7,4,18,0,72,16,16
2015,8.299,826.0,13,34,1,100,34,74
2016,7.95,913.5,2,21,0,97,27,53
2017,7.921,1091.5,1,19,0,93,35,74
2018,9.189,649.3,6,44,0,93,38,58
2019,8.854,857.9,8,40,1,85,23,55
2020,8.751,900.7,4,23,0,95,11,19
2021,7.375,869.3,1,12,0,114,41,72
2022,9.251,736.1,8,47,0,93,25,61
2023,9.028,1090.5,5,40,0,80,32,55
