year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1947;null;null;null;null;null
1948;9.7;9;60;0;32
1949;10.11;13;56;0;15
1950;9.99;23;82;1;34
1951;10.02;8;60;0;11
1952;8.93;22;71;0;34
1953;9.7;9;72;0;32
1954;8.35;11;55;0;49
1955;8.6;1;47;0;39
1956;7.98;4;56;0;51
1957;9.34;9;54;3;23
1958;9.4;11;57;0;15
1959;9.47;7;48;0;23
1960;9.17;5;37;0;23
1961;9.72;12;54;0;35
1962;8.2;13;56;0;40
1963;8.11;18;60;0;72
1964;8.55;15;59;0;52
1965;7.89;10;37;0;33
1966;9.63;7;49;0;24
1967;9.68;20;63;0;19
1968;9.18;18;59;0;33
1969;8.76;14;64;0;51
1970;8.6;9;44;0;33
1971;9.31;21;59;0;33
1972;9.04;15;47;0;29
1973;9.18;13;64;0;17
1974;9.89;10;45;0;4
1975;9.85;4;61;0;10
1976;9.06;12;48;0;27
1977;9.47;4;50;0;29
1978;8.76;3;44;0;35
1979;9.26;7;55;0;24
1980;8.24;2;32;0;35
1981;9.66;12;54;2;29
1982;9.57;8;75;0;30
1983;10.22;21;75;2;28
1984;9.18;8;35;0;22
1985;8.7;6;49;1;47
1986;9.48;13;69;0;44
1987;8.96;5;56;1;40
1988;10.14;18;60;0;12
1989;10.53;6;51;0;13
1990;10.66;16;59;1;19
1991;9.57;11;57;2;21
1992;11.09;33;80;6;12
1993;10.11;17;72;1;26
1994;11.1;27;67;15;17
1995;9.88;12;60;1;37
1996;8.21;1;34;0;61
1997;9.57;3;56;1;36
1998;10.21;16;52;5;36
1999;10.33;6;50;1;25
2000;11.16;15;68;3;20
2001;10;14;52;2;26
2002;10.75;10;69;3;29
2003;10.57;32;87;6;31
2004;9.95;10;47;0;32
2005;9.88;9;46;3;34
2006;10.34;17;50;6;39
2007;11.41;20;73;4;18
2008;11.11;7;63;1;12
2009;10.7;9;58;0;29
2010;9.41;12;46;8;51
2011;11.01;15;78;4;22
2012;10.93;24;81;4;29
2013;10.28;23;57;10;33
2014;11.64;10;52;4;18
2015;11.83;42;68;20;4
2016;11.05;11;72;2;19
2017;11.12;29;79;8;26
2018;12.06;30;101;12;28
2019;11.94;24;78;8;14
2020;11.42;14;60;4;10
2021;10.53;12;69;2;17
2022;null;22;63;7;2
