,DateTime,Wasserkraft,Jahresproduktion
0,2010-01-31,2.430239202,
1,2010-02-28,2.075081135,
2,2010-03-31,2.738405668,
3,2010-04-30,2.3524698760000002,
4,2010-05-31,3.717647323,
5,2010-06-30,4.17695438,
6,2010-07-31,3.825127986,
7,2010-08-31,4.120179857,
8,2010-09-30,3.5722220869999997,
9,2010-10-31,2.766790454,
10,2010-11-30,2.6806827149999997,
11,2010-12-31,2.902797343,37.358598026
12,2011-01-31,2.7824524559999997,37.710811279999994
13,2011-02-28,2.345818281,37.981548425999996
14,2011-03-31,2.2690766239999998,37.512219382
15,2011-04-30,2.429416514,37.58916602
16,2011-05-31,2.9600132940000004,36.831531991
17,2011-06-30,3.6589722549999997,36.313549866
18,2011-07-31,3.392595882,35.881017762
19,2011-08-31,3.556575355,35.317413259999995
20,2011-09-30,2.873802655,34.618993828
21,2011-10-31,3.001374937,34.853578311
22,2011-11-30,2.2805426069999997,34.453438203000005
23,2011-12-31,2.17784034,33.7284812
24,2012-01-31,3.098579032,34.044607776
25,2012-02-29,2.6360272769999997,34.334816771999996
26,2012-03-31,3.375084609,35.440824757
27,2012-04-30,3.317296137,36.328704380000005
28,2012-05-31,4.1594995720000005,37.528190658
29,2012-06-30,4.505112298,38.374330701000005
30,2012-07-31,4.439811508999999,39.421546328
31,2012-08-31,3.7805801719999996,39.645551145
32,2012-09-30,3.6551520660000003,40.426900556
33,2012-10-31,3.5581038339999997,40.983629453
34,2012-11-30,3.3260593480000002,42.029146194
35,2012-12-31,3.057659693,42.908965547
36,2013-01-31,3.285311249,43.095697764
37,2013-02-28,3.052383193,43.51205368
38,2013-03-31,3.049886891,43.186855961999996
39,2013-04-30,3.574640295,43.44420012
40,2013-05-31,4.703819666,43.988520214000005
41,2013-06-30,4.051293918,43.534701834
42,2013-07-31,3.907816455,43.00270678
43,2013-08-31,3.08011613,42.302242738
44,2013-09-30,3.228072736,41.875163408
45,2013-10-31,3.0317417310000003,41.348801305
46,2013-11-30,3.316012389,41.338754346
47,2013-12-31,2.6817162629999998,40.962810916
48,2014-01-31,2.414623377,40.092123044
49,2014-02-28,2.175182113,39.214921964
50,2014-03-31,2.7006127400000004,38.865647813
51,2014-04-30,3.156661364,38.447668882
52,2014-05-31,4.213697398,37.957546613999995
53,2014-06-30,3.752373756,37.658626452
54,2014-07-31,3.9082542620000003,37.659064259000004
55,2014-08-31,4.318111631,38.897059760000005
56,2014-09-30,3.981153105,39.650140129
57,2014-10-31,3.063436709,39.681835107
58,2014-11-30,3.168712846,39.534535563999995
59,2014-12-31,2.733505187,39.586324487999995
60,2015-01-31,3.0082191600000003,40.179920271
61,2015-02-28,2.175555969,40.180294127
62,2015-03-31,2.476648741,39.956330128
63,2015-04-30,3.1734966140000003,39.973165378
64,2015-05-31,4.276078002,40.035545981999995
65,2015-06-30,4.250266601,40.533438827
66,2015-07-31,3.533592318,40.158776883
67,2015-08-31,3.242283656,39.082948908
68,2015-09-30,2.7921825950000003,37.893978398
69,2015-10-31,2.9857911280000002,37.816332817
70,2015-11-30,2.1117187680000002,36.759338739
71,2015-12-31,2.068344363,36.094177915
72,2016-01-31,2.147760139,35.233718894
73,2016-02-29,2.81553152,35.873694445
74,2016-03-31,2.531303591,35.928349295000004
75,2016-04-30,3.134187812,35.889040493
76,2016-05-31,3.859978325,35.472940816000005
77,2016-06-30,4.648044452,35.870718667000006
78,2016-07-31,4.596857812,36.933984161
79,2016-08-31,4.200138115000001,37.89183862
80,2016-09-30,3.211121247,38.310777272
81,2016-10-31,2.841035221,38.166021365
82,2016-11-30,2.689217631,38.743520228
83,2016-12-31,2.602928735,39.2781046
84,2017-01-31,2.302929271,39.433273732
85,2017-02-28,1.994318882,38.612061094
86,2017-03-31,2.957884435,39.038641938
87,2017-04-30,2.86420432,38.768658445999996
88,2017-05-31,3.8322219879999997,38.740902109
89,2017-06-30,3.399030136,37.491887793
90,2017-07-31,3.6553865819999998,36.550416563
91,2017-08-31,4.188264198,36.538542645999996
92,2017-09-30,4.098919059,37.426340458
93,2017-10-31,3.139046702,37.724351939
94,2017-11-30,3.167436676,38.202570984
95,2017-12-31,2.943554259,38.543196508
96,2018-01-31,3.575276914,39.815544151
97,2018-02-28,2.937525717,40.758750985999995
98,2018-03-31,2.729601616,40.530468166999995
99,2018-04-30,3.77900933,41.445273177
100,2018-05-31,4.503228200000001,42.116279389
101,2018-06-30,3.939532858,42.656782111
102,2018-07-31,3.241956973,42.243352502
103,2018-08-31,2.667403531,40.722491835
104,2018-09-30,2.688457888,39.312030664
105,2018-10-31,2.404237623,38.577221585000004
106,2018-11-30,2.564755845,37.974540754
107,2018-12-31,2.730042224,37.761028719
108,2019-01-31,3.080751394,37.266503199
109,2019-02-28,2.492885196,36.821862678
110,2019-03-31,3.506181618,37.598442680000005
111,2019-04-30,3.7625041699999997,37.581937520000004
112,2019-05-31,4.118459633,37.197168953
113,2019-06-30,4.779212283,38.036848378
114,2019-07-31,3.8779654389999996,38.672856844
115,2019-08-31,3.596778216,39.602231529
116,2019-09-30,2.98575239,39.899526031
117,2019-10-31,2.640215168,40.135503576
118,2019-11-30,3.001325302,40.572073032999995
119,2019-12-31,2.636707613,40.478738422
120,2020-01-31,2.613175201,40.011162229
121,2020-02-29,2.768329977,40.28660701
122,2020-03-31,3.106450089,39.886875481
123,2020-04-30,3.01400832,39.138379631
124,2020-05-31,3.675837142,38.69575714
125,2020-06-30,4.282198233,38.198743089999994
126,2020-07-31,4.418281421,38.739059071999996
127,2020-08-31,4.086544674,39.22882553
