DateTime,Jahresproduktion
2021-01-01,1.621368999999999
2021-02-01,1.7138059747899148
2021-03-01,1.806242949579831
2021-04-01,1.898679924369747
2021-05-01,1.9911168991596628
2021-06-01,2.0835538739495787
2021-07-01,2.1759908487394948
2021-08-01,2.268427823529411
2021-09-01,2.3608647983193265
2021-10-01,2.4533017731092426
2021-11-01,2.5457387478991587
2021-12-01,2.6381757226890743
2022-01-01,2.730612697478991
2022-02-01,2.8230496722689065
2022-03-01,2.9154866470588225
2022-04-01,3.0079236218487386
2022-05-01,3.1003605966386543
2022-06-01,3.192797571428571
2022-07-01,3.2852345462184864
2022-08-01,3.377671521008402
2022-09-01,3.4701084957983186
2022-10-01,3.5625454705882342
2022-11-01,3.65498244537815
2022-12-01,3.7474194201680664
2023-01-01,3.839856394957982
2023-02-01,3.9322933697478986
2023-03-01,4.024730344537814
2023-04-01,4.11716731932773
2023-05-01,4.209604294117646
2023-06-01,4.302041268907562
2023-07-01,4.394478243697478
2023-08-01,4.486915218487394
2023-09-01,4.57935219327731
2023-10-01,4.671789168067226
2023-11-01,4.764226142857142
2023-12-01,4.856663117647058
2024-01-01,4.949100092436974
2024-02-01,5.04153706722689
2024-03-01,5.133974042016805
2024-04-01,5.226411016806722
2024-05-01,5.318847991596638
2024-06-01,5.411284966386554
2024-07-01,5.50372194117647
2024-08-01,5.596158915966385
2024-09-01,5.688595890756301
2024-10-01,5.7810328655462175
2024-11-01,5.873469840336133
2024-12-01,5.96590681512605
2025-01-01,6.058343789915965
2025-02-01,6.150780764705881
2025-03-01,6.2432177394957975
2025-04-01,6.335654714285713
2025-05-01,6.42809168907563
2025-06-01,6.520528663865545
2025-07-01,6.612965638655461
2025-08-01,6.7054026134453775
2025-09-01,6.797839588235293
2025-10-01,6.890276563025209
2025-11-01,6.982713537815125
2025-12-01,7.075150512605041
2026-01-01,7.1675874873949565
2026-02-01,7.260024462184873
2026-03-01,7.352461436974789
2026-04-01,7.444898411764705
2026-05-01,7.537335386554621
2026-06-01,7.6297723613445365
2026-07-01,7.722209336134453
2026-08-01,7.814646310924369
2026-09-01,7.907083285714285
2026-10-01,7.999520260504201
2026-11-01,8.091957235294117
2026-12-01,8.184394210084033
2027-01-01,8.276831184873949
2027-02-01,8.369268159663864
2027-03-01,8.461705134453782
2027-04-01,8.554142109243697
2027-05-01,8.646579084033613
2027-06-01,8.739016058823529
2027-07-01,8.831453033613444
2027-08-01,8.923890008403362
2027-09-01,9.016326983193277
2027-10-01,9.108763957983193
2027-11-01,9.201200932773109
2027-12-01,9.293637907563024
2028-01-01,9.386074882352942
2028-02-01,9.478511857142857
2028-03-01,9.570948831932773
2028-04-01,9.663385806722689
2028-05-01,9.755822781512604
2028-06-01,9.848259756302522
2028-07-01,9.940696731092437
2028-08-01,10.033133705882353
2028-09-01,10.125570680672269
2028-10-01,10.218007655462184
2028-11-01,10.310444630252102
2028-12-01,10.402881605042017
2029-01-01,10.495318579831933
2029-02-01,10.587755554621848
2029-03-01,10.680192529411764
2029-04-01,10.772629504201682
2029-05-01,10.865066478991597
2029-06-01,10.957503453781513
2029-07-01,11.049940428571428
2029-08-01,11.142377403361344
2029-09-01,11.234814378151261
2029-10-01,11.327251352941177
2029-11-01,11.419688327731093
2029-12-01,11.512125302521008
2030-01-01,11.604562277310924
2030-02-01,11.69699925210084
2030-03-01,11.789436226890757
2030-04-01,11.881873201680673
2030-05-01,11.974310176470588
2030-06-01,12.066747151260504
2030-07-01,12.15918412605042
2030-08-01,12.251621100840337
2030-09-01,12.344058075630253
2030-10-01,12.436495050420168
2030-11-01,12.528932025210084
2030-12-01,12.621369
