DateTime,Jahresproduktion
2021-01-01,2.8362074350000004
2021-02-01,2.844610796344538
2021-03-01,2.853014157689076
2021-04-01,2.8614175190336137
2021-05-01,2.8698208803781515
2021-06-01,2.8782242417226893
2021-07-01,2.886627603067227
2021-08-01,2.895030964411765
2021-09-01,2.903434325756303
2021-10-01,2.911837687100841
2021-11-01,2.9202410484453787
2021-12-01,2.9286444097899165
2022-01-01,2.9370477711344543
2022-02-01,2.945451132478992
2022-03-01,2.95385449382353
2022-04-01,2.9622578551680676
2022-05-01,2.9706612165126054
2022-06-01,2.979064577857143
2022-07-01,2.987467939201681
2022-08-01,2.9958713005462188
2022-09-01,3.0042746618907565
2022-10-01,3.0126780232352943
2022-11-01,3.021081384579832
2022-12-01,3.0294847459243703
2023-01-01,3.037888107268908
2023-02-01,3.046291468613446
2023-03-01,3.0546948299579837
2023-04-01,3.0630981913025215
2023-05-01,3.0715015526470593
2023-06-01,3.079904913991597
2023-07-01,3.088308275336135
2023-08-01,3.0967116366806726
2023-09-01,3.1051149980252104
2023-10-01,3.113518359369748
2023-11-01,3.121921720714286
2023-12-01,3.1303250820588238
2024-01-01,3.1387284434033615
2024-02-01,3.1471318047478993
2024-03-01,3.155535166092437
2024-04-01,3.1639385274369753
2024-05-01,3.172341888781513
2024-06-01,3.180745250126051
2024-07-01,3.1891486114705887
2024-08-01,3.1975519728151265
2024-09-01,3.2059553341596643
2024-10-01,3.214358695504202
2024-11-01,3.22276205684874
2024-12-01,3.2311654181932776
2025-01-01,3.2395687795378154
2025-02-01,3.247972140882353
2025-03-01,3.256375502226891
2025-04-01,3.2647788635714288
2025-05-01,3.273182224915967
2025-06-01,3.281585586260505
2025-07-01,3.2899889476050426
2025-08-01,3.2983923089495804
2025-09-01,3.306795670294118
2025-10-01,3.315199031638656
2025-11-01,3.3236023929831937
2025-12-01,3.3320057543277315
2026-01-01,3.3404091156722693
2026-02-01,3.348812477016807
2026-03-01,3.357215838361345
2026-04-01,3.3656191997058826
2026-05-01,3.3740225610504204
2026-06-01,3.382425922394958
2026-07-01,3.390829283739496
2026-08-01,3.3992326450840338
2026-09-01,3.4076360064285716
2026-10-01,3.4160393677731093
2026-11-01,3.4244427291176476
2026-12-01,3.4328460904621854
2027-01-01,3.441249451806723
2027-02-01,3.449652813151261
2027-03-01,3.4580561744957987
2027-04-01,3.4664595358403365
2027-05-01,3.4748628971848743
2027-06-01,3.483266258529412
2027-07-01,3.49166961987395
2027-08-01,3.5000729812184876
2027-09-01,3.5084763425630254
2027-10-01,3.5168797039075637
2027-11-01,3.5252830652521014
2027-12-01,3.5336864265966392
2028-01-01,3.542089787941177
2028-02-01,3.550493149285715
2028-03-01,3.5588965106302526
2028-04-01,3.5672998719747904
2028-05-01,3.575703233319328
2028-06-01,3.584106594663866
2028-07-01,3.5925099560084037
2028-08-01,3.6009133173529415
2028-09-01,3.6093166786974793
2028-10-01,3.617720040042017
2028-11-01,3.626123401386555
2028-12-01,3.6345267627310927
2029-01-01,3.6429301240756304
2029-02-01,3.6513334854201682
2029-03-01,3.659736846764706
2029-04-01,3.668140208109244
2029-05-01,3.676543569453782
2029-06-01,3.68494693079832
2029-07-01,3.6933502921428576
2029-08-01,3.7017536534873954
2029-09-01,3.710157014831933
2029-10-01,3.718560376176471
2029-11-01,3.7269637375210087
2029-12-01,3.7353670988655465
2030-01-01,3.7437704602100843
2030-02-01,3.752173821554622
2030-03-01,3.76057718289916
2030-04-01,3.7689805442436977
2030-05-01,3.777383905588236
2030-06-01,3.7857872669327737
2030-07-01,3.7941906282773115
2030-08-01,3.8025939896218492
2030-09-01,3.810997350966387
2030-10-01,3.819400712310925
2030-11-01,3.8278040736554626
2030-12-01,3.8362074350000004
