year,energy_type,scenario,value,release_date
2030,wasserkraft,eag,47,2021-10-12
2030,windkraft,eag,17.22,2021-10-12
2030,biomass,eag,3.84,2021-10-12
2030,pv,eag,13.04,2021-10-12
2030,wasserkraft,önip,47,2024-04-08
2030,windkraft,önip,21,2024-04-08
2030,biomass,önip,6,2024-04-08
2030,pv,önip,21,2024-04-08
2030,wasserkraft,nekp_draft_wam,47,2023-07-03
2030,windkraft,nekp_draft_wam,19,2023-07-03
2030,biomass,nekp_draft_wam,6,2023-07-03
2030,pv,nekp_draft_wam,19,2023-07-03
