endDate;heatDays;summerDays;tropicalNights;iceDays
1951-08-05;null;null;null;null
1952-08-05;null;null;null;null
1953-08-05;null;null;null;null
1954-08-05;null;null;null;null
1955-08-05;null;null;null;null
1956-08-05;null;null;null;null
1957-08-05;null;null;null;null
1958-08-05;null;null;null;null
1959-08-05;null;null;null;null
1960-08-05;null;null;null;null
1961-08-05;null;null;null;null
1962-08-05;null;null;null;null
1963-08-05;null;null;null;null
1964-08-05;null;null;null;null
1965-08-05;null;null;null;null
1966-08-05;null;null;null;null
1967-08-05;null;null;null;null
1968-08-05;null;null;null;null
1969-08-05;null;null;null;null
1970-08-05;null;null;null;null
1971-08-05;null;null;null;null
1972-08-05;null;null;null;null
1973-08-05;null;null;null;null
1974-08-05;null;null;null;null
1975-08-05;null;null;null;null
1976-08-05;null;null;null;null
1977-08-05;null;null;null;null
1978-08-05;null;null;null;null
1979-08-05;null;null;null;null
1980-08-05;null;null;null;null
1981-08-05;null;null;null;null
1982-08-05;null;null;null;null
1983-08-05;null;null;null;null
1984-08-05;null;null;null;null
1985-08-05;null;null;null;null
1986-08-05;null;null;null;null
1987-08-05;null;null;null;null
1988-08-05;null;null;null;null
1989-08-05;null;null;null;null
1990-08-05;null;null;null;null
1991-08-05;null;null;null;null
1992-08-05;null;null;null;null
1993-08-05;null;null;null;null
1994-08-05;null;null;null;null
1995-08-05;14;47;0;10
1996-08-05;6;38;0;35
1997-08-05;1;45;0;20
1998-08-05;9;46;1;6
1999-08-05;5;46;1;14
2000-08-05;15;53;1;14
2001-08-05;15;50;0;4
2002-08-05;22;61;1;10
2003-08-05;25;73;0;15
2004-08-05;4;33;0;12
2005-08-05;10;49;2;19
2006-08-05;23;47;2;21
2007-08-05;21;59;1;0
2008-08-05;12;49;0;5
2009-08-05;10;49;0;13
2010-08-05;20;45;2;21
2011-08-05;7;48;0;11
2012-08-05;23;59;1;14
2013-08-05;19;53;2;14
2014-08-05;13;50;0;9
2015-08-05;23;51;4;1
2016-08-05;15;51;1;8
2017-08-05;27;57;2;22
2018-08-05;16;73;2;12
2019-08-05;23;58;2;3
2020-08-05;10;43;1;5
2021-08-05;23;59;5;5
2022-08-05;23;64;2;1
2023-08-05;16;46;3;1
2024-08-05;24;64;9;1
