endDate;heatDays;summerDays;tropicalNights;iceDays
1941-10-09;0;0;0;86
1942-10-09;0;0;0;77
1943-10-09;0;0;0;47
1944-10-09;0;0;0;85
1945-10-09;null;null;null;null
1946-10-09;0;0;0;60
1947-10-09;0;0;0;73
1948-10-09;0;0;0;62
1949-10-09;0;0;0;58
1950-10-09;0;0;0;74
1951-10-09;0;0;0;91
1952-10-09;0;0;0;77
1953-10-09;0;0;0;71
1954-10-09;0;0;0;97
1955-10-09;0;0;0;63
1956-10-09;0;0;0;72
1957-10-09;0;4;0;41
1958-10-09;0;0;0;77
1959-10-09;0;0;0;53
1960-10-09;0;0;0;85
1961-10-09;0;0;0;56
1962-10-09;0;0;0;101
1963-10-09;0;0;0;91
1964-10-09;0;0;0;70
1965-10-09;0;0;0;97
1966-10-09;0;0;0;75
1967-10-09;0;0;0;110
1968-10-09;0;0;0;98
1969-10-09;0;0;0;107
1970-10-09;0;0;0;122
1971-10-09;0;0;0;96
1972-10-09;0;0;0;103
1973-10-09;0;0;0;105
1974-10-09;0;0;0;108
1975-10-09;0;0;0;98
1976-10-09;0;0;0;99
1977-10-09;0;0;0;100
1978-10-09;0;0;0;115
1979-10-09;0;0;0;125
1980-10-09;0;0;0;111
1981-10-09;0;0;0;83
1982-10-09;0;0;0;97
1983-10-09;0;0;0;82
1984-10-09;0;0;0;117
1985-10-09;0;0;0;108
1986-10-09;0;0;0;106
1987-10-09;0;0;0;110
1988-10-09;0;0;0;95
1989-10-09;0;0;0;70
1990-10-09;0;0;0;72
1991-10-09;0;0;0;93
1992-10-09;0;0;0;87
1993-10-09;0;0;0;65
1994-10-09;0;0;0;85
1995-10-09;0;0;0;93
1996-10-09;0;0;0;93
1997-10-09;0;0;0;71
1998-10-09;0;0;0;79
1999-10-09;0;0;0;79
2000-10-09;0;0;0;86
2001-10-09;0;0;0;90
2002-10-09;0;0;0;69
2003-10-09;0;0;0;88
2004-10-09;0;0;0;91
2005-10-09;0;0;0;84
2006-10-09;0;0;0;92
2007-10-09;0;0;0;63
2008-10-09;0;0;0;82
2009-10-09;0;0;0;88
2010-10-09;0;0;0;98
2011-10-09;0;0;0;69
2012-10-09;0;0;0;86
2013-10-09;0;0;0;101
2014-10-09;0;0;0;70
2015-10-09;0;0;0;78
2016-10-09;0;0;0;88
2017-10-09;0;0;0;82
2018-10-09;0;0;0;83
2019-10-09;0;0;0;83
2020-10-09;0;0;0;52
2021-10-09;0;0;0;82
2022-10-09;0;0;0;67
