month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951-1;-1.22;0;0;0;5
1951-2;2.39;0;0;0;1
1951-3;3.67;0;0;0;1
1951-4;8.28;0;0;0;0
1951-5;13.11;0;2;0;0
1951-6;16.68;1;9;0;0
1951-7;18.2;1;16;0;0
1951-8;19.12;7;22;0;0
1951-9;16.12;2;12;0;0
1951-10;8.32;0;0;0;0
1951-11;5.73;0;0;0;0
1951-12;-0.22;0;0;0;2
1952-1;-2.93;0;0;0;10
1952-2;-1.36;0;0;0;5
1952-3;2.83;0;0;0;1
1952-4;11.45;0;2;0;0
1952-5;12.86;0;2;0;0
1952-6;16.83;0;12;0;0
1952-7;19.73;5;23;0;0
1952-8;19.28;8;21;0;0
1952-9;11.83;0;1;0;0
1952-10;8.61;0;0;0;0
1952-11;2.12;0;0;0;1
1952-12;-1.59;0;0;0;6
1953-1;-1.94;0;0;0;10
1953-2;0.35;0;0;0;3
1953-3;4.84;0;0;0;0
1953-4;9.68;0;0;0;0
1953-5;12.86;1;9;0;0
1953-6;16.82;0;7;0;0
1953-7;19.26;2;21;0;0
1953-8;17.15;1;16;0;0
1953-9;15.51;1;5;0;0
1953-10;11.55;0;0;0;0
1953-11;2.05;0;0;0;1
1953-12;-0.87;0;0;0;9
1954-1;-6.04;0;0;0;22
1954-2;-4.21;0;0;0;12
1954-3;5.47;0;0;0;0
1954-4;7.1;0;0;0;0
1954-5;12.16;0;2;0;0
1954-6;17.83;0;14;0;0
1954-7;16.39;0;7;0;0
1954-8;16.8;1;12;0;0
1954-9;15.71;0;12;0;0
1954-10;8.79;0;0;0;0
1954-11;2.36;0;0;0;1
1954-12;1.95;0;0;0;0
1955-1;-2.22;0;0;0;7
1955-2;-0.84;0;0;0;5
1955-3;1.96;0;0;0;3
1955-4;7.29;0;1;0;0
1955-5;11.94;0;3;0;0
1955-6;15.68;0;7;0;0
1955-7;18.74;2;16;0;0
1955-8;17.55;0;12;0;0
1955-9;15.01;0;7;0;0
1955-10;8.87;0;0;0;0
1955-11;3.17;0;0;0;0
1955-12;0.74;0;0;0;3
1956-1;-1.42;0;0;0;5
1956-2;-8.19;0;0;0;20
1956-3;1.7;0;0;0;3
1956-4;7.38;0;0;0;0
1956-5;13.07;0;5;0;0
1956-6;15.45;0;5;0;0
1956-7;18.64;1;16;0;0
1956-8;17.72;0;10;0;0
1956-9;15.47;2;10;0;0
1956-10;8.38;0;2;0;0
1956-11;1.81;0;0;0;2
1956-12;-0.94;0;0;0;11
1957-1;-3.46;0;0;0;11
1957-2;2.88;0;0;0;0
1957-3;6.52;0;0;0;0
1957-4;8.25;0;0;0;0
1957-5;10.49;0;1;0;0
1957-6;18.25;4;20;0;0
1957-7;18.9;9;12;0;0
1957-8;16.35;0;11;0;0
1957-9;13.49;0;3;0;0
1957-10;9.14;0;0;0;0
1957-11;5.28;0;0;0;0
1957-12;-0.45;0;0;0;5
1958-1;-3.07;0;0;0;9
1958-2;1.61;0;0;0;1
1958-3;0.5;0;0;0;2
1958-4;6.73;0;0;0;0
1958-5;16.64;5;15;0;0
1958-6;16.13;0;6;0;0
1958-7;18.74;3;15;0;0
1958-8;18.62;3;15;0;0
1958-9;14.99;0;5;0;0
1958-10;9.83;0;1;0;0
1958-11;5.49;0;0;0;0
1958-12;-0.39;0;0;0;6
1959-1;-2.23;0;0;0;8
1959-2;-0.2;0;0;0;4
1959-3;6.65;0;0;0;0
1959-4;9.35;0;0;0;0
1959-5;12.77;0;1;0;0
1959-6;16.01;0;9;0;0
1959-7;18.8;5;15;0;0
1959-8;17.64;2;12;0;0
1959-9;13.14;0;5;0;0
1959-10;7.95;0;0;0;0
1959-11;3.18;0;0;0;0
1959-12;1.33;0;0;0;5
1960-1;-2.42;0;0;0;9
1960-2;-0.65;0;0;0;10
1960-3;4.59;0;0;0;2
1960-4;8.42;0;0;0;0
1960-5;13.19;0;3;0;0
1960-6;16.82;0;14;0;0
1960-7;16.64;0;8;0;0
1960-8;17.34;5;11;0;0
1960-9;13.19;0;1;0;0
1960-10;9.53;0;0;0;0
1960-11;4.67;0;0;0;0
1960-12;0.35;0;0;0;7
1961-1;-4.31;0;0;0;19
1961-2;2.46;0;0;0;1
1961-3;6.29;0;0;0;0
1961-4;11.83;0;2;0;0
1961-5;11.76;0;2;0;0
1961-6;17.77;3;12;0;0
1961-7;16.49;3;11;0;0
1961-8;17.39;4;18;0;0
1961-9;16.87;1;19;0;0
1961-10;10.61;0;1;0;0
1961-11;3.01;0;0;0;0
1961-12;-3.12;0;0;0;14
1962-1;-2.95;0;0;0;10
1962-2;-0.24;0;0;0;4
1962-3;1.29;0;0;0;4
1962-4;8.39;0;2;0;0
1962-5;11.74;0;2;0;0
1962-6;14.41;2;10;0;0
1962-7;16.68;2;9;0;0
1962-8;18.93;3;21;0;0
1962-9;13.37;1;5;0;0
1962-10;9.49;0;0;0;0
1962-11;2.59;0;0;0;4
1962-12;-6.62;0;0;0;23
1963-1;-6.58;0;0;0;20
1963-2;-4.47;0;0;0;11
1963-3;2.72;0;0;0;1
1963-4;9.64;0;0;0;0
1963-5;12.03;0;1;0;0
1963-6;17.13;1;10;0;0
1963-7;18.73;4;18;0;0
1963-8;17.55;2;17;0;0
1963-9;15.99;0;4;0;0
1963-10;8.84;0;0;0;0
1963-11;5.72;0;0;0;0
1963-12;-6.88;0;0;0;25
1964-1;-8.28;0;0;0;23
1964-2;0.86;0;0;0;2
1964-3;2.43;0;0;0;2
1964-4;9.79;0;0;0;0
1964-5;13;0;3;0;0
1964-6;18.19;0;16;0;0
1964-7;18.08;7;20;0;0
1964-8;16.95;1;13;0;0
1964-9;14.15;0;6;0;0
1964-10;7.87;0;0;0;0
1964-11;6.12;0;0;0;0
1964-12;-1.13;0;0;0;11
1965-1;-2.03;0;0;0;8
1965-2;-2.92;0;0;0;7
1965-3;3.89;0;0;0;0
1965-4;7.42;0;0;0;0
1965-5;11.74;0;2;0;0
1965-6;16.34;4;11;0;0
1965-7;17.36;1;12;0;0
1965-8;16.07;2;6;0;0
1965-9;14.34;0;0;0;0
1965-10;9.26;0;0;0;0
1965-11;1.95;0;0;0;3
1965-12;-0.83;0;0;0;3
1966-1;-3.89;0;0;0;19
1966-2;4.45;0;0;0;0
1966-3;3.8;0;0;0;0
1966-4;10.42;0;0;0;0
1966-5;13.15;0;5;0;0
1966-6;17.36;0;12;0;0
1966-7;17.37;0;8;0;0
1966-8;16.55;3;10;0;0
1966-9;15.17;0;7;0;0
1966-10;12.92;0;1;0;0
1966-11;1.78;0;0;0;3
1966-12;-1.33;0;0;0;5
1967-1;-1.51;0;0;0;8
1967-2;1.15;0;0;0;2
1967-3;5.31;0;0;0;0
1967-4;7.54;0;0;0;0
1967-5;12.86;0;2;0;0
1967-6;16.31;4;8;0;0
1967-7;19.63;2;21;0;0
1967-8;17.74;2;10;0;0
1967-9;15.37;0;6;0;0
1967-10;11.22;0;0;0;0
1967-11;3.71;0;0;0;0
1967-12;-1.12;0;0;0;10
1968-1;-4.04;0;0;0;13
1968-2;1.69;0;0;0;0
1968-3;4.53;0;0;0;1
1968-4;10.26;0;3;0;0
1968-5;13.51;0;3;0;0
1968-6;16.71;0;8;0;0
1968-7;17.55;4;13;0;0
1968-8;16.61;0;4;0;0
1968-9;13.96;0;0;0;0
1968-10;9.85;0;0;0;0
1968-11;4.25;0;0;0;0
1968-12;-3.76;0;0;0;15
1969-1;-2.07;0;0;0;12
1969-2;-1.92;0;0;0;10
1969-3;3.02;0;0;0;0
1969-4;8.31;0;2;0;0
1969-5;15.35;2;10;0;0
1969-6;15.07;0;8;0;0
1969-7;18.53;4;19;0;0
1969-8;16.69;0;9;0;0
1969-9;15.36;0;2;0;0
1969-10;10.16;0;0;0;0
1969-11;3.9;0;0;0;1
1969-12;-3.77;0;0;0;20
1970-1;-1.49;0;0;0;11
1970-2;-0.07;0;0;0;2
1970-3;1.85;0;0;0;0
1970-4;7.26;0;0;0;0
1970-5;11.09;0;0;0;0
1970-6;17.5;1;14;0;0
1970-7;17.55;0;17;0;0
1970-8;18.23;1;13;0;0
1970-9;14.69;0;5;0;0
1970-10;8.9;0;0;0;0
1970-11;4.84;0;0;0;0
1970-12;-2.06;0;0;0;9
1971-1;-3.1;0;0;0;13
1971-2;1.6;0;0;0;2
1971-3;1.38;0;0;0;8
1971-4;9.79;0;0;0;0
1971-5;14.26;0;8;0;0
1971-6;15.57;0;3;0;0
1971-7;18.6;4;21;0;0
1971-8;19.31;4;20;0;0
1971-9;12.51;0;0;0;0
1971-10;9.23;0;0;0;0
1971-11;3.45;0;0;0;2
1971-12;1.28;0;0;0;1
1972-1;-3.02;0;0;0;13
1972-2;2.32;0;0;0;3
1972-3;6.53;0;0;0;0
1972-4;8.84;0;0;0;0
1972-5;13.16;0;2;0;0
1972-6;16.65;0;10;0;0
1972-7;18.06;2;13;0;0
1972-8;17.88;6;12;0;0
1972-9;11.59;0;2;0;0
1972-10;7.3;0;0;0;0
1972-11;3.63;0;0;0;0
1972-12;-2.53;0;0;0;13
1973-1;-1.75;0;0;0;7
1973-2;1.09;0;0;0;1
1973-3;3.79;0;0;0;0
1973-4;6.73;0;0;0;0
1973-5;14.3;0;8;0;0
1973-6;16.63;0;6;0;0
1973-7;18;1;16;0;0
1973-8;18.48;3;21;0;0
1973-9;15.37;6;9;0;0
1973-10;7.63;0;0;0;0
1973-11;1.71;0;0;0;3
1973-12;-2.59;0;0;0;13
1974-1;1.15;0;0;0;1
1974-2;3.41;0;0;0;0
1974-3;6.41;0;0;0;0
1974-4;7.33;0;0;0;0
1974-5;12.06;0;2;0;0
1974-6;14.91;0;4;0;0
1974-7;17.69;2;15;0;0
1974-8;19.49;6;18;0;0
1974-9;14.75;0;5;0;0
1974-10;5.53;0;0;0;0
1974-11;3.25;0;0;0;0
1974-12;1.69;0;0;0;2
1975-1;0.72;0;0;0;2
1975-2;1.07;0;0;0;0
1975-3;4.62;0;0;0;0
1975-4;8.12;0;0;0;0
1975-5;14.32;0;4;0;0
1975-6;15.27;0;7;0;0
1975-7;18.55;2;17;0;0
1975-8;18.28;0;13;0;0
1975-9;17.23;0;7;0;0
1975-10;8.67;0;1;0;0
1975-11;1.78;0;0;0;5
1975-12;-0.49;0;0;0;5
1976-1;0.02;0;0;0;6
1976-2;1.02;0;0;0;4
1976-3;2.29;0;0;0;3
1976-4;7.9;0;0;0;0
1976-5;13.07;0;2;0;0
1976-6;16.37;0;14;0;0
1976-7;19.18;6;20;0;0
1976-8;15.59;0;0;0;0
1976-9;13.28;0;1;0;0
1976-10;10.61;0;0;0;0
1976-11;5.08;0;0;0;1
1976-12;-2.79;0;0;0;13
1977-1;-1.06;0;0;0;7
1977-2;3.14;0;0;0;0
1977-3;7.25;0;0;0;0
1977-4;7.66;0;0;0;0
1977-5;13.64;0;3;0;0
1977-6;16.78;0;11;0;0
1977-7;17.72;0;10;0;0
1977-8;17.24;0;7;0;0
1977-9;13.19;0;8;0;0
1977-10;11.56;0;1;0;0
1977-11;4.45;0;0;0;0
1977-12;-1.17;0;0;0;10
1978-1;-1.2;0;0;0;6
1978-2;-0.73;0;0;0;6
1978-3;5.83;0;0;0;0
1978-4;7.49;0;0;0;0
1978-5;11.99;0;0;0;0
1978-6;15.64;0;8;0;0
1978-7;16.53;0;8;0;0
1978-8;16.67;0;10;0;0
1978-9;13.97;0;4;0;0
1978-10;10.35;0;0;0;0
1978-11;2.06;0;0;0;1
1978-12;-1.41;0;0;0;10
1979-1;-3.87;0;0;0;19
1979-2;0.82;0;0;0;1
1979-3;5.49;0;0;0;0
1979-4;7.43;0;0;0;0
1979-5;13.24;0;13;0;0
1979-6;17.92;0;13;0;0
1979-7;16.62;0;6;0;0
1979-8;16.99;1;13;0;0
1979-9;15.27;0;11;0;0
1979-10;9.05;0;0;0;0
1979-11;3.6;0;0;0;0
1979-12;2.08;0;0;0;2
1980-1;-2.3;0;0;0;15
1980-2;2.54;0;0;0;0
1980-3;4.99;0;0;0;0
1980-4;6.64;0;0;0;0
1980-5;11.1;0;0;0;0
1980-6;15.93;2;4;0;0
1980-7;17.03;0;12;0;0
1980-8;18.72;4;16;0;0
1980-9;14.87;0;4;0;0
1980-10;8.5;0;0;0;0
1980-11;1.8;0;0;0;1
1980-12;-1.29;0;0;0;8
1981-1;-4.45;0;0;0;11
1981-2;-0.09;0;0;0;1
1981-3;6.87;0;0;0;0
1981-4;9.34;0;1;0;0
1981-5;13.49;0;3;0;0
1981-6;17.3;3;15;0;0
1981-7;17.6;0;14;0;0
1981-8;18.16;3;14;0;0
1981-9;15.38;0;3;0;0
1981-10;10.12;0;0;0;0
1981-11;3.92;0;0;0;1
1981-12;-1.67;0;0;0;7
1982-1;-3.4;0;0;0;17
1982-2;-1.24;0;0;0;3
1982-3;4.41;0;0;0;0
1982-4;7.04;0;0;0;0
1982-5;13.83;0;4;0;0
1982-6;17.37;1;15;0;0
1982-7;19.68;4;19;0;0
1982-8;18.82;1;14;0;0
1982-9;17.98;0;17;0;0
1982-10;10.55;0;0;0;0
1982-11;5.08;0;0;0;0
1982-12;0.98;0;0;0;2
1983-1;1.94;0;0;0;1
1983-2;-1.75;0;0;0;6
1983-3;6.05;0;0;0;0
1983-4;10.65;0;1;0;0
1983-5;13.67;0;8;0;0
1983-6;16.51;1;11;0;0
1983-7;21.68;13;29;0;0
1983-8;19;2;17;0;0
1983-9;15.43;1;8;0;0
1983-10;10.28;0;2;0;0
1983-11;1.88;0;0;0;3
1983-12;-1.12;0;0;0;12
1984-1;-1.47;0;0;0;5
1984-2;-0.33;0;0;0;4
1984-3;3.9;0;0;0;0
1984-4;7.82;0;0;0;0
1984-5;12.53;0;2;0;0
1984-6;16.13;1;8;0;0
1984-7;17.8;5;11;0;0
1984-8;17.93;2;15;0;0
1984-9;14.4;1;7;0;0
1984-10;10.85;0;0;0;0
1984-11;4.25;0;0;0;0
1984-12;0.97;0;0;0;5
1985-1;-6.28;0;0;0;20
1985-2;-1.52;0;0;0;5
1985-3;3.61;0;0;0;0
1985-4;8.14;0;0;0;0
1985-5;13.24;0;4;0;0
1985-6;14.49;1;4;0;0
1985-7;19.03;3;16;0;0
1985-8;17.55;2;16;0;0
1985-9;15.68;0;11;0;0
1985-10;9.49;0;0;0;0
1985-11;1.24;0;0;0;5
1985-12;1.5;0;0;0;3
1986-1;-2.54;0;0;0;12
1986-2;-5.11;0;0;0;17
1986-3;2.43;0;0;0;1
1986-4;9.11;0;0;0;0
1986-5;15.57;0;5;0;0
1986-6;16.22;0;11;0;0
1986-7;17.86;2;14;0;0
1986-8;18.58;2;16;0;0
1986-9;14.53;0;4;0;0
1986-10;9.87;0;0;0;0
1986-11;3.78;0;0;0;0
1986-12;-1.92;0;0;0;7
1987-1;-4.94;0;0;0;16
1987-2;-0.16;0;0;0;3
1987-3;-0.8;0;0;0;5
1987-4;9.39;0;0;0;0
1987-5;11.59;0;1;0;0
1987-6;16.63;1;8;0;0
1987-7;19.75;2;19;0;0
1987-8;17.5;0;6;0;0
1987-9;17.58;2;15;0;0
1987-10;10.46;0;0;0;0
1987-11;4.62;0;0;0;0
1987-12;0.64;0;0;0;4
1988-1;0.96;0;0;0;0
1988-2;1.57;0;0;0;0
1988-3;3.33;0;0;0;0
1988-4;8.82;0;0;0;0
1988-5;13.96;0;0;0;0
1988-6;16.42;0;5;0;0
1988-7;19.48;9;19;0;0
1988-8;18.8;6;18;0;0
1988-9;14.68;0;2;0;0
1988-10;11.19;0;0;0;0
1988-11;1.43;0;0;0;2
1988-12;1.36;0;0;0;2
1989-1;0.16;0;0;0;0
1989-2;3.14;0;0;0;0
1989-3;7.32;0;0;0;0
1989-4;9.36;0;0;0;0
1989-5;12.73;0;1;0;0
1989-6;15.19;0;2;0;0
1989-7;18.52;0;14;0;0
1989-8;18.15;0;14;0;0
1989-9;14.57;0;4;0;0
1989-10;10.26;0;0;0;0
1989-11;3.04;0;0;0;0
1989-12;-0.03;0;0;0;1
1990-1;-1.9;0;0;0;8
1990-2;4.15;0;0;0;0
1990-3;7.62;0;0;0;0
1990-4;7.83;0;0;0;0
1990-5;14.62;0;2;0;0
1990-6;16.49;1;11;0;0
1990-7;18.06;2;16;0;0
1990-8;19.08;4;22;0;0
1990-9;12.84;0;1;0;0
1990-10;10.91;0;0;0;0
1990-11;4.01;0;0;0;0
1990-12;-1.35;0;0;0;7
1991-1;-1.45;0;0;0;0
1991-2;-2.5;0;0;0;9
1991-3;7.3;0;0;0;0
1991-4;7.48;0;0;0;0
1991-5;10.21;0;0;0;0
1991-6;16.27;0;9;0;0
1991-7;19.44;5;18;0;0
1991-8;19.08;3;14;0;0
1991-9;15.95;0;5;0;0
1991-10;8.19;0;0;0;0
1991-11;3.09;0;0;0;0
1991-12;-2.58;0;0;0;10
1992-1;-0.62;0;0;0;6
1992-2;2.92;0;0;0;1
1992-3;5.33;0;0;0;0
1992-4;9.43;0;2;0;0
1992-5;14.44;0;4;0;0
1992-6;18.7;7;15;0;0
1992-7;19.7;9;21;0;0
1992-8;22.55;17;30;0;0
1992-9;15.41;0;7;0;0
1992-10;7.96;0;0;0;0
1992-11;4.34;0;0;0;0
1992-12;-0.88;0;0;0;10
1993-1;-0.23;0;0;0;7
1993-2;-0.04;0;0;0;2
1993-3;4.06;0;0;0;1
1993-4;9.34;0;0;0;0
1993-5;15.14;0;6;0;0
1993-6;17.58;0;11;0;0
1993-7;17.63;0;15;0;0
1993-8;18.12;3;16;0;0
1993-9;13.98;0;1;0;0
1993-10;10.63;0;0;0;0
1993-11;1.69;0;0;0;11
1993-12;-0.79;0;0;0;7
1994-1;1.43;0;0;0;1
1994-2;0.85;0;0;0;5
1994-3;7.7;0;0;0;0
1994-4;8.39;0;0;0;0
1994-5;13.77;0;3;0;0
1994-6;17.42;4;12;0;0
1994-7;20.87;8;23;0;0
1994-8;20.4;8;20;0;0
1994-9;16.24;0;5;0;0
1994-10;8.5;0;0;0;0
1994-11;7.57;0;0;0;0
1994-12;0.52;0;0;0;2
1995-1;-2.18;0;0;0;11
1995-2;2.89;0;0;0;0
1995-3;3.9;0;0;0;0
1995-4;9.47;0;1;0;0
1995-5;13.83;0;8;0;0
1995-6;15.98;1;5;0;0
1995-7;21.33;8;26;0;0
1995-8;17.79;1;16;0;0
1995-9;13.59;0;0;0;0
1995-10;11.74;0;0;0;0
1995-11;1.98;0;0;0;3
1995-12;-1.66;0;0;0;13
1996-1;-1.71;0;0;0;11
1996-2;-1.61;0;0;0;3
1996-3;1.86;0;0;0;2
1996-4;8.6;0;1;0;0
1996-5;14.52;0;5;0;0
1996-6;18.11;6;15;0;0
1996-7;17.4;0;14;0;0
1996-8;18.06;1;7;0;0
1996-9;11.42;0;0;0;0
1996-10;10.11;0;0;0;0
1996-11;5.67;0;0;0;0
1996-12;-2.16;0;0;0;8
1997-1;-1.06;0;0;0;4
