year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1954,10.289,772.1,8,46,0,51,21,20
1955,10.642,798.5,3,50,0,69,8,19
1956,9.629,1002.8,5,37,1,62,24,21
1957,11.19,846.1,13,38,0,44,8,25
1958,11.328,876.1,10,59,0,52,3,25
1959,12.03,653.7,15,74,0,45,2,5
1960,11.063,858.2,6,36,0,27,11,14
1961,12.263,794.2,20,63,0,30,3,1
1962,10.83,634.8,17,59,0,50,3,23
1963,10.094,671.7,8,37,0,63,32,51
1964,11.409,764.0,20,70,0,52,11,11
1965,10.405,930.5,6,36,0,48,7,37
1966,11.823,919.6,8,47,1,31,12,14
1967,11.963,727.3,17,60,0,38,5,1
1968,11.359,939.5,6,32,0,59,4,20
1969,11.275,785.6,11,54,0,58,9,29
1970,11.019,991.1,8,58,0,53,5,19
1971,11.36,601.1,15,57,0,52,15,29
1972,10.708,554.9,6,32,0,23,3,5
1973,10.971,754.7,15,58,0,61,6,10
1974,11.391,767.6,7,43,0,9,0,0
1975,11.583,811.4,9,45,0,28,0,4
1976,11.649,529.3,25,61,0,45,7,20
1977,11.376,1039.2,2,32,0,28,2,18
1978,10.639,963.3,3,36,0,41,6,21
1979,10.88,933.5,6,57,0,46,11,31
1980,10.717,919.6,4,35,0,35,9,8
1981,11.347,1200.9,8,46,0,52,9,27
1982,11.714,1020.2,13,73,1,39,5,26
1983,12.289,885.8,26,71,3,41,0,9
1984,10.815,888.4,10,50,0,55,0,24
1985,10.838,790.6,13,68,0,53,21,44
1986,11.061,1012.7,17,68,0,58,20,51
1987,10.979,1035.6,12,52,0,57,20,39
1988,12.311,896.4,12,57,0,25,0,8
1989,12.519,682.0,10,72,2,23,0,1
1990,12.743,782.1,14,61,0,21,1,0
1991,11.892,665.3,16,78,0,43,13,12
1992,12.171,848.7,21,72,0,33,4,21
1993,11.912,783.0,14,56,0,37,5,8
1994,12.999,813.5,31,68,4,21,2,1
1995,12.463,979.2,18,57,2,26,6,18
1996,11.221,613.4,8,52,0,48,2,5
1997,12.269,691.4,14,68,0,44,12,21
1998,12.657,972.9,21,60,2,34,1,3
1999,12.548,1217.4,14,69,0,32,6,16
2000,12.912,821.1,18,73,0,23,3,4
2001,12.838,1152.3,22,67,0,25,0,2
2002,12.754,899.7,18,64,0,31,6,0
2003,13.376,629.9,59,107,7,58,13,18
2004,12.308,819.9,19,59,0,46,2,20
2005,12.293,788.7,22,62,2,58,9,19
2006,12.262,1027.6,28,68,3,59,14,13
2007,13.111,891.2,10,75,0,16,3,7
2008,12.424,817.9,14,67,0,46,1,1
2009,12.403,686.5,19,67,0,53,10,5
2010,11.632,757.6,22,59,1,50,15,28
2011,13.151,639.7,22,84,1,36,3,1
2012,12.33,911.9,21,70,2,38,13,16
2013,12.001,884.0,26,73,2,48,8,0
2014,13.407,852.1,10,62,0,14,0,0
2016,16.796,242.9,15,58,0,0,0,0
2017,12.566,757.6,29,77,1,47,13,26
2018,13.425,664.5,37,106,1,38,5,6
2019,12.738,705.9,29,74,1,54,0,7
2020,13.284,702.2,26,85,0,41,0,0
2021,11.755,1052.6,9,56,0,50,5,23
2022,13.734,639.5,41,92,0,54,0,3
2023,13.683,652.2,32,108,0,37,0,0
