.;Tschechien;Niederlande;Belgien;Polen;Norwegen;Dänemark;Frankreich;Österreich;Schweiz;Russland;LNG;Deutschland Import
15.05.2023;0;774;811;0;1241;0;0;0;0;0;222;3048
16.05.2023;0;754;814;0;1200;0;34;0;0;0;249;3051
17.05.2023;0;745;812;0;1231;0;41;0;0;0;181;3012
18.05.2023;0;775;811;0;1200;17;62;0;0;0;186;3052
19.05.2023;0;722;817;0;1193;22;58;0;0;0;227;3039
20.05.2023;0;702;812;0;1231;0;83;0;0;0;234;3061
21.05.2023;0;747;807;0;1238;0;78;0;0;0;224;3094
22.05.2023;0;720;754;0;1166;0;1;0;0;0;270;2911
23.05.2023;0;794;761;0;1008;53;104;0;0;0;297;3017
24.05.2023;0;754;760;0;1138;58;64;0;0;0;260;3033
25.05.2023;0;774;758;0;1100;16;0;0;0;0;255;2904
26.05.2023;0;727;752;0;1211;0;20;0;0;0;199;2908
27.05.2023;0;767;758;0;1198;0;0;0;0;0;263;2986
28.05.2023;0;657;683;0;1194;0;0;0;0;0;244;2777
29.05.2023;0;721;791;0;1155;19;0;0;0;0;242;2928
30.05.2023;0;746;679;0;1197;0;0;0;0;0;254;2876
31.05.2023;0;678;683;0;1204;5;0;0;0;0;211;2781
01.06.2023;0;646;445;0;1129;67;11;0;0;0;275;2572
02.06.2023;0;625;489;0;1149;0;2;0;0;0;252;2518
03.06.2023;0;596;469;0;1128;0;0;0;0;0;286;2480
04.06.2023;0;583;398;0;1126;0;0;0;0;0;273;2380
05.06.2023;0;572;493;0;1133;0;0;0;0;0;270;2468
06.06.2023;0;552;420;0;1124;0;0;0;0;0;201;2296
07.06.2023;0;507;336;0;1180;0;0;0;0;0;204;2228
08.06.2023;0;516;399;0;1167;0;0;0;0;0;212;2293
09.06.2023;0;496;367;0;1101;0;17;0;0;0;236;2217
10.06.2023;0;606;545;0;1109;0;16;0;0;0;210;2485
11.06.2023;0;561;502;0;1114;0;15;0;0;0;210;2403
12.06.2023;0;567;521;0;1131;0;14;0;0;0;211;2444
13.06.2023;0;539;1168;0;1135;0;0;0;0;0;218;3061
14.06.2023;0;568;497;0;1121;0;0;0;0;0;192;2379
15.06.2023;0;526;444;0;1103;0;21;0;0;0;241;2336
16.06.2023;0;497;479;0;1091;0;23;0;0;0;256;2345
17.06.2023;0;508;507;0;995;9;20;0;0;0;252;2290
18.06.2023;0;533;476;0;1158;35;29;0;0;0;279;2511
19.06.2023;0;520;468;0;1111;0;1;0;0;0;278;2378
20.06.2023;0;549;465;0;1122;0;0;0;0;0;242;2378
21.06.2023;0;500;392;0;1035;0;0;0;0;0;236;2164
22.06.2023;0;476;303;0;1056;0;0;0;0;0;200;2035
23.06.2023;0;466;380;0;1058;0;4;0;0;0;195;2104
24.06.2023;0;514;547;0;1142;0;0;0;0;0;190;2393
25.06.2023;0;532;559;0;1175;0;0;0;0;0;199;2465
26.06.2023;0;524;551;0;1131;0;0;0;0;0;209;2416
27.06.2023;0;489;471;0;1131;0;0;0;0;0;219;2309
28.06.2023;0;527;520;0;1164;0;3;0;0;0;230;2444
29.06.2023;0;520;475;0;1160;0;0;0;0;0;207;2362
30.06.2023;0;541;428;0;1164;0;0;0;0;0;194;2326
01.07.2023;0;595;530;0;1219;0;0;0;0;0;189;2533
02.07.2023;0;585;447;0;1168;0;0;0;0;0;194;2394
03.07.2023;2;561;423;0;1164;0;3;0;0;0;191;2344
04.07.2023;0;489;305;0;1124;0;5;0;0;0;201;2125
05.07.2023;0;456;401;0;1115;0;10;0;0;0;191;2175
06.07.2023;0;428;411;0;1098;0;5;0;0;0;207;2149
07.07.2023;0;404;470;0;1121;0;1;0;0;0;204;2201
08.07.2023;0;362;500;0;1139;0;31;0;0;0;184;2216
09.07.2023;0;379;492;0;1140;0;23;0;0;0;157;2190
10.07.2023;0;428;523;0;1030;0;0;0;0;0;163;2144
11.07.2023;0;448;510;0;1126;0;0;0;0;0;116;2199
12.07.2023;0;432;530;0;1114;0;0;0;0;0;202;2279
13.07.2023;0;446;510;0;1096;0;0;0;0;0;183;2235
14.07.2023;0;454;526;0;1015;0;0;0;0;0;187;2182
15.07.2023;0;465;553;0;1148;0;0;0;0;0;158;2324
16.07.2023;0;489;545;0;1112;0;0;0;0;0;144;2290
17.07.2023;0;540;574;0;1119;0;0;0;0;0;197;2431
18.07.2023;0;584;543;0;1180;0;0;0;0;0;188;2496
19.07.2023;0;633;534;0;1172;0;0;0;0;0;193;2532
20.07.2023;0;562;483;0;1185;0;0;0;0;0;192;2421
21.07.2023;0;579;455;0;1213;0;0;0;0;0;170;2417
22.07.2023;0;601;485;0;1215;0;0;0;0;0;208;2508
23.07.2023;0;597;474;0;1217;0;0;0;0;0;202;2489
24.07.2023;0;591;430;0;1217;0;0;0;0;0;197;2435
25.07.2023;0;579;345;0;1216;0;0;0;0;0;198;2338
26.07.2023;0;594;355;0;1184;0;0;0;0;0;197;2330
27.07.2023;0;602;409;0;1156;0;0;0;0;0;115;2282
28.07.2023;0;581;447;0;1168;0;0;0;0;0;68;2263
29.07.2023;0;615;620;0;1195;0;0;0;0;0;113;2542
30.07.2023;0;589;503;0;1195;0;0;0;0;0;127;2413
31.07.2023;0;542;512;0;1198;0;0;0;0;0;167;2418
01.08.2023;0;603;418;0;1180;0;0;0;0;0;219;2419
02.08.2023;0;603;461;0;1180;0;0;0;0;0;243;2487
03.08.2023;0;648;421;0;1190;0;0;0;0;0;240;2499
04.08.2023;0;572;341;0;1189;0;0;0;0;0;250;2352
05.08.2023;0;575;429;0;1199;0;0;0;0;0;220;2422
06.08.2023;0;588;381;0;1223;0;0;0;0;0;210;2401
07.08.2023;0;674;407;0;1109;0;0;0;0;0;209;2399
08.08.2023;0;657;435;0;1099;0;0;0;0;0;196;2387
09.08.2023;0;669;367;0;1120;0;0;0;0;0;188;2344
10.08.2023;0;672;344;0;1111;0;0;0;0;0;150;2276
11.08.2023;0;621;358;0;1098;0;0;0;22;0;138;2236
12.08.2023;0;628;377;0;1110;0;0;0;141;0;201;2457
13.08.2023;0;597;373;0;1101;0;0;0;121;0;217;2408
14.08.2023;0;556;313;0;1108;0;0;0;112;0;220;2310
15.08.2023;0;635;359;0;1137;0;0;0;89;0;231;2451
16.08.2023;0;606;390;0;1137;0;0;0;0;0;234;2367
17.08.2023;0;634;426;0;1126;0;0;0;0;0;221;2406
18.08.2023;0;561;409;0;1101;0;0;0;1;0;232;2304
19.08.2023;0;500;381;0;1088;0;0;0;126;0;216;2311
20.08.2023;0;469;450;0;1094;0;0;0;97;0;102;2212
21.08.2023;0;534;394;0;1097;0;0;0;0;0;226;2253
22.08.2023;0;543;256;0;1147;0;0;0;0;0;228;2174
23.08.2023;0;546;212;0;1187;0;0;0;0;0;228;2173
24.08.2023;0;559;218;0;1136;0;0;0;0;0;235;2149
25.08.2023;0;514;246;0;1050;0;0;0;0;0;236;2047
26.08.2023;0;550;280;0;895;0;0;0;0;0;225;1950
27.08.2023;0;585;269;0;834;18;0;0;0;0;225;1931
28.08.2023;0;610;307;0;805;0;0;0;0;0;216;1938
29.08.2023;0;528;390;0;749;0;14;0;0;0;77;1757
30.08.2023;0;598;262;0;1010;0;0;0;0;0;80;1950
31.08.2023;0;643;270;0;946;0;0;0;0;0;70;1929
01.09.2023;0;532;394;0;1048;0;0;0;0;0;70;2044
02.09.2023;0;459;322;0;675;0;0;0;32;0;69;1557
03.09.2023;0;401;316;0;591;0;29;0;112;0;94;1542
04.09.2023;0;507;283;0;579;0;47;0;0;0;213;1630
05.09.2023;0;507;386;0;528;0;22;0;0;0;225;1667
06.09.2023;0;535;378;0;482;0;49;0;0;0;218;1663
07.09.2023;0;517;299;0;479;0;94;0;0;0;199;1587