year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951;10.75;1;42;1;10
1952;9.9;13;49;3;26
1953;10.63;7;61;0;17
1954;9.39;7;51;0;41
1955;9.57;1;37;0;28
1956;8.97;3;47;0;47
1957;10.5;10;53;4;20
1958;10.41;9;52;0;12
1959;10.37;5;44;1;17
1960;10.16;2;35;1;21
1961;10.85;11;52;2;30
1962;9.37;14;58;0;27
1963;9.3;17;60;4;63
1964;9.61;17;59;0;42
1965;9.24;5;38;0;19
1966;10.62;2;34;0;23
1967;10.8;17;51;2;16
1968;10.27;10;47;0;29
1969;9.78;6;53;1;45
1970;9.85;4;48;0;31
1971;10.46;15;59;2;31
1972;10.14;13;42;4;28
1973;10.42;9;58;1;14
1974;11.09;11;49;2;4
1975;10.99;0;56;0;5
1976;10.38;8;46;2;19
1977;10.92;2;54;0;23
1978;9.77;2;38;0;19
1979;10.28;6;52;1;18
1980;9.43;4;30;2;28
1981;10.86;11;57;2;18
1982;10.68;6;68;1;30
1983;11.53;21;77;5;17
1984;10.09;8;39;1;15
1985;9.81;11;56;0;39
1986;10.34;13;66;3;37
1987;9.96;5;54;3;40
1988;11.12;19;56;5;8
1989;11.37;4;47;3;11
1990;11.55;16;60;3;15
1991;10.4;12;52;5;23
1992;11.73;28;71;10;9
1993;10.64;15;63;2;32
1994;12.07;28;75;9;11
1995;10.86;15;64;1;22
1996;9.43;6;45;0;49
1997;10.57;3;63;1;20
1998;11.29;20;65;8;21
1999;11.26;9;58;2;21
2000;12.25;26;73;4;17
2001;11.17;21;66;5;16
2002;11.86;18;77;3;25
2003;11.57;40;102;11;22
2004;10.93;9;54;1;20
2005;10.77;12;65;4;24
2006;11.25;22;61;13;24
2007;12.18;22;84;6;16
2008;11.94;8;74;1;7
2009;11.52;14;74;1;27
2010;10.45;15;56;8;38
2011;11.64;18;77;5;14
2012;11.83;31;89;5;20
2013;11.33;26;68;13;19
2014;12.53;13;60;4;9
2015;12.66;42;78;23;2
2016;12.05;20;85;5;13
2017;12.16;38;85;10;22
2018;13.01;37;113;16;13
2019;12.99;38;87;15;4
2020;12.37;21;76;0;3
2021;11.64;24;83;8;7
2022;12.76;31;93;8;6
2023;13.11;32;91;16;3
2024;null;38;92;25;3
