year,month,averageTemperature,totalPrecipitation,averageSnowCover
1948,1,2.871,112.6,61.0
1948,2,0.421,69.8,13.0
1948,3,6.2,35.6,0.0
1948,4,9.737,43.1,0.0
1948,5,13.965,40.5,0.0
1948,6,15.563,118.9,0.0
1948,7,15.577,104.0,0.0
1948,8,16.203,54.7,0.0
1948,9,13.193,17.3,0.0
1948,10,8.358,18.5,0.0
1948,11,3.443,25.8,0.0
1948,12,-0.939,9.4,0.0
1949,1,0.203,28.6,12.0
1949,2,0.332,18.0,29.0
1949,3,2.145,42.6,71.0
1949,4,10.717,45.7,0.0
1949,5,11.842,91.3,0.0
1949,6,14.23,31.0,0.0
1949,7,18.61,13.4,0.0
1949,8,17.519,60.9,0.0
1949,9,16.753,19.3,0.0
1949,10,10.632,14.7,0.0
1949,11,2.957,27.5,0.0
1949,12,2.235,50.0,26.0
1950,1,-1.39,29.5,6.0
1950,2,2.679,73.0,29.0
1950,3,4.639,5.5,29.0
1950,4,6.353,62.9,0.0
1950,5,13.823,65.8,0.0
1950,6,17.92,66.8,0.0
1950,7,18.768,101.1,0.0
1950,8,17.365,91.2,0.0
1950,9,12.36,59.1,0.0
1950,10,7.468,30.9,16.0
1950,11,3.95,131.6,0.0
1950,12,-2.868,40.0,213.0
1951,1,1.639,75.6,180.0
1951,2,1.857,49.3,1.0
1951,3,2.426,36.8,0.0
1951,4,7.373,15.7,0.0
1951,5,11.758,32.7,0.0
1951,6,14.823,134.0,0.0
1951,7,17.452,55.5,0.0
1951,8,17.097,47.6,0.0
1951,9,14.2,32.5,0.0
1951,10,7.49,33.1,0.0
1951,11,5.51,71.5,0.0
1951,12,0.794,48.4,8.0
1952,1,-0.842,92.6,163.0
1952,2,-1.821,57.6,701.0
1952,3,3.29,125.9,25.0
1952,4,10.413,21.8,8.0
1952,5,12.326,42.5,0.0
1952,6,15.89,56.2,0.0
1952,7,19.768,1.2,0.0
1952,8,18.632,46.4,0.0
1952,9,10.227,93.9,0.0
1952,10,6.855,69.4,0.0
1952,11,1.083,152.3,116.0
1952,12,-1.626,67.8,133.0
1953,1,-2.152,25.7,201.0
1953,2,-0.332,35.1,261.0
1953,3,5.719,2.8,0.0
1953,4,9.677,34.4,0.0
1953,5,13.313,63.7,3.0
1953,6,15.427,95.8,0.0
1953,7,17.555,149.7,0.0
1953,8,16.629,29.2,0.0
1953,9,13.8,40.2,0.0
1953,10,9.932,45.3,0.0
1953,11,3.193,5.7,0.0
1953,12,1.819,18.9,11.0
1954,1,-4.394,77.2,223.0
1954,2,-3.257,20.6,0.0
1954,3,4.932,13.6,1.0
1954,4,5.823,61.9,7.0
1954,5,11.929,72.2,0.0
1954,6,15.923,51.5,0.0
1954,7,14.074,119.7,0.0
1954,8,15.69,95.0,0.0
1954,9,13.363,99.5,0.0
1954,10,9.087,34.7,0.0
1954,11,3.52,22.6,1.0
1954,12,2.326,70.5,6.0
1955,1,-2.603,65.9,44.0
