endDate;heatDays;summerDays;tropicalNights;iceDays
1995-12-23;1;11;0;35
1996-12-23;0;0;0;0
1997-12-23;0;0;0;0
1998-12-23;0;0;0;0
1999-12-23;0;0;0;0
2000-12-23;0;0;0;0
2001-12-23;0;0;0;0
2002-12-23;0;0;0;0
2003-12-23;0;0;0;0
2004-12-23;0;0;0;0
2005-12-23;0;0;0;0
2006-12-23;0;0;0;0
2007-12-23;0;0;0;0
2008-12-23;0;0;0;0
2009-12-23;0;0;0;0
2010-12-23;0;15;0;54
2011-12-23;0;13;0;20
2012-12-23;1;18;0;43
2013-12-23;null;null;null;null
2014-12-23;0;9;0;9
2015-12-23;3;34;0;28
2016-12-23;0;13;0;20
2017-12-23;1;25;1;34
2018-12-23;0;12;0;31
2019-12-23;4;25;0;21
2020-12-23;0;13;0;12
2021-12-23;0;12;0;39
2022-12-23;2;22;0;24
2023-12-23;4;27;0;26
