year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951;null;null;null;null;null
1952;null;null;null;null;null
1953;null;null;null;null;null
1954;null;null;null;null;null
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;null;null;null;null;null
1958;null;null;null;null;null
1959;null;null;null;null;null
1960;null;null;null;null;null
1961;null;null;null;null;null
1962;null;null;null;null;null
1963;null;null;null;null;null
1964;null;null;null;null;null
1965;null;null;null;null;null
1966;null;null;null;null;null
1967;null;null;null;null;null
1968;null;null;null;null;null
1969;null;null;null;null;null
1970;null;null;null;null;null
1971;null;null;null;null;null
1972;null;null;null;null;null
1973;null;null;null;null;null
1974;null;null;null;null;null
1975;null;null;null;null;null
1976;null;null;null;null;null
1977;null;null;null;null;null
1978;null;null;null;null;null
1979;null;null;null;null;null
1980;null;null;null;null;null
1981;null;null;null;null;null
1982;null;null;null;null;null
1983;null;null;null;null;null
1984;null;null;null;null;null
1985;null;null;null;null;null
1986;null;null;null;null;null
1987;null;null;null;null;null
1988;null;null;null;null;null
1989;null;null;null;null;null
1990;null;null;null;null;null
1991;9.75;17;65;2;23
1992;11.28;30;84;6;8
1993;10.09;19;73;2;33
1994;11.53;34;85;4;14
1995;10.21;21;69;1;26
1996;8.95;6;46;0;50
1997;9.95;8;68;1;28
1998;10.72;20;65;6;24
1999;10.96;9;71;3;18
2000;null;null;null;null;null
2001;null;null;null;null;null
2002;11.28;19;81;3;30
2003;10.82;41;97;5;23
2004;9.95;14;50;0;29
2005;9.95;12;65;3;30
2006;10.53;24;60;4;31
2007;11.43;30;81;5;17
2008;11.35;13;77;0;8
2009;11.12;15;85;1;29
2010;9.85;20;59;4;37
2011;11.02;21;86;3;19
2012;11.33;42;98;3;22
2013;10.75;26;70;10;21
2014;12.02;21;67;2;11
2015;11.92;45;79;8;2
2016;11.42;24;89;1;18
2017;11.53;41;89;6;21
2018;12.23;29;107;6;14
2019;12.32;38;88;7;7
2020;11.76;25;79;1;7
2021;11;31;86;6;10
2022;12.08;43;96;5;7
2023;12.49;40;95;6;2
2024;null;28;68;10;3
