endDate;heatDays;summerDays;tropicalNights;iceDays
1959-11-19;0;9;0;26
1960-11-19;0;7;0;27
1961-11-19;0;23;0;31
1962-11-19;0;22;0;41
1963-11-19;0;8;0;48
1964-11-19;0;19;0;22
1965-11-19;0;11;0;46
1966-11-19;0;7;0;30
1967-11-19;0;13;0;27
1968-11-19;0;9;0;32
1969-11-19;0;13;0;34
1970-11-19;0;11;0;46
1971-11-19;0;12;0;25
1972-11-19;0;10;0;20
1973-11-19;0;19;0;25
1974-11-19;0;9;0;11
1975-11-19;0;12;0;8
1976-11-19;0;13;0;19
1977-11-19;0;5;0;20
1978-11-19;0;5;0;35
1979-11-19;0;6;0;30
1980-11-19;0;15;0;28
1981-11-19;0;13;0;48
1982-11-19;0;12;0;16
1983-11-19;4;17;0;27
1984-11-19;0;13;0;49
1985-11-19;0;15;0;40
1986-11-19;0;20;0;47
1987-11-19;0;23;0;35
1988-11-19;0;24;0;24
1989-11-19;0;8;0;4
1990-11-19;0;17;0;13
1991-11-19;0;29;0;30
1992-11-19;0;29;0;22
1993-11-19;0;17;0;23
1994-11-19;2;42;0;18
1995-11-19;0;26;0;24
1996-11-19;0;13;0;21
1997-11-19;0;13;0;8
1998-11-19;1;21;0;12
1999-11-19;0;13;0;25
2000-11-19;0;26;0;19
2001-11-19;null;null;null;null
2002-11-19;null;null;null;null
2003-11-19;3;45;0;33
2004-11-19;0;11;0;46
2005-11-19;0;25;0;45
2006-11-19;0;32;0;45
2007-11-19;0;17;0;12
2008-11-19;0;12;0;16
2009-11-19;0;21;0;42
2010-11-19;3;24;0;45
2011-11-19;0;18;0;17
2012-11-19;2;21;0;38
2013-11-19;1;24;0;35
2014-11-19;0;10;0;13
2015-11-19;3;41;0;27
2016-11-19;1;18;0;19
2017-11-19;2;30;0;23
2018-11-19;1;36;0;28
2019-11-19;6;26;0;29
2020-11-19;0;23;0;15
2021-11-19;0;14;0;31
2022-11-19;3;33;0;17
