region;year;bruttoinlandsverbrauch_TWh;umwandlungseinsatz;umwandlungseinsatz_kraftwerke;umwandlungseinsatz_kraftwerke_evu;umwandlungseinsatz_kraftwerke_uea;umwandlungseinsatz_kwk_anlagen;umwandlungseinsatz_kwk_anlagen_evu;umwandlungseinsatz_kwk_anlagen_uea;umwandlungseinsatz_heizwerke;umwandlungseinsatz_heizwerke_evu;umwandlungseinsatz_heizwerke_uea;umwandlungseinsatz_gaserzeugung;umwandlungsausstoss;verbrauchDesSektorsEnergie;transportverluste;nichtenergetischerVerbrauch;energetischerEndverbrauch;energeEndverbrauch_industrie_EisenStahlerzeugung;energeEndverbrauch_industrie_chemiePetrochemie;energeEndverbrauch_industrie_nichtEisenMetalle;energeEndverbrauch_industrie_steineErdenGlas;energeEndverbrauch_industrie_fahrzeugbau;energeEndverbrauch_industrie_maschinenbau;energeEndverbrauch_industrie_bergbau;energeEndverbrauch_industrie_hrungsGenussmittelTabak;energeEndverbrauch_industrie_papierDruck;energeEndverbrauch_industrie_holzverarbeitung;energeEndverbrauch_industrie_bau;energeEndverbrauch_industrie_textilLeder;energeEndverbrauch_industrie_sonstProduzierenderBereich;energeEndverbrauch_verkehr_eisenbahn;energeEndverbrauch_verkehr_sonstigerLandverkehr;energeEndverbrauch_verkehr_transportInRohrfernleitungen;energeEndverbrauch_verkehr_binnenschiffahrt;energeEndverbrauch_verkehr_flugverkehr;energeEndverbrauch_oeffentUndPrivDienstleistungen;energeEndverbrauch_privateHaushalte;energeEndverbrauch_landwirtschaft;energeEndverbrauch_industrie_summe;energeEndverbrauch_verkehr_summe;energeEndverbrauch_summe_aus_Landwirtschaft_privateHaushalte_oeffentUndPrivDienstleistungen;verbrauchDesSektorsEnergie_gewinnungErdoelErdgas;verbrauchDesSektorsEnergie_kohlenbergbau;verbrauchDesSektorsEnergie_mineraloelverarbeitung;verbrauchDesSektorsEnergie_kokerei;verbrauchDesSektorsEnergie_hochofen;verbrauchDesSektorsEnergie_energieversorgung
kaernten;2001;2.37664359966078;0.156652585555556;;;;;;;;;;;0;0.00362577469652211;0;0;2.2163652394087;0.0445839964368942;0.179214415130569;0;0.467238120690178;0.000211193814343461;0.0559737583157139;0.0108157558023062;0.0776827786488836;0.131783668059111;0.0164213533677519;0.0355861755211814;0.00679689866059114;0.0374387700710483;0;0;0.423214792927858;0;0;0.526601401343911;0.2005293003488;0.00227286026955767;1.06374688451857;0.423214792927858;0.729403561962269;0;0;0;0;0;0.00362577469652211
kaernten;2002;1.96154888853001;0.127079166666667;;;;;;;;;;;0;0.00369053109826106;0;0;1.83077919076509;0.0484742427912975;0.193280498969302;0;0.486549337208856;0.00020409741143318;0.0696799072584261;0.0100550988764617;0.066283348244445;0.134395905715879;0.0331359113318392;0.0311736322741047;0.00656851350837517;0.0108699820634768;0;0;0.23596136017111;0;0;0.293772737993111;0.208578113535933;0.00179650341103647;1.09067047565389;0.23596136017111;0.504147354940081;0;0;0;0;0;0.00369053109826106
kaernten;2003;2.07367478706008;0.150870325;;;;;;;;;;;0;0.00356101829478317;0;0;1.9192434437653;0.0555648800068978;0.201378286976087;0;0.428824915564153;0.000437017156216736;0.07216299505499;0.00670930898503108;0.0627885882194458;0.1298728534925;0.0358825751479197;0.0252281701592291;0.004925182122971;0.0241835620263058;0;0;0.316212648339183;0;0;0.316242846300186;0.237275828740611;0.00155378547357089;1.04795833491174;0.316212648339183;0.555072460514367;0;0;0;0;0;0.00356101829478317
kaernten;2004;2.15269197502547;0.110889513472222;;;;;;;;;;;0;0.00372354545454544;0;0;2.03807891609871;0.058496755977655;0.242903724557154;0;0.388750951423464;0.00271066308799356;0.0830838256071931;0.00279639408212681;0.0687734851829469;0.140955157788426;0.0419247512540169;0.0188687904298778;0.00301688588119933;0.0319422621629017;0;0.000137567495270565;0.316569073794286;0;0;0.352398839214761;0.283040158061878;0.00170963009755578;1.08422364743496;0.316706641289556;0.637148627374194;0;0;0;0;0;0.00372354545454544
kaernten;2005;2.26252732288889;0.220589330027778;0;0;0;0.0471047808333333;0.0471047808333333;0;0.173484549194444;0.173484549194444;0;0;0;0.003789621;0;0;2.03814837186111;0.0626418858611111;0.237406944138889;0.000151915083333333;0.372674263777778;0.0027690735;0.0875033793888889;0.00293341902777778;0.07450563225;0.134388547861111;0.184273500583333;0.0216328978611111;0.00534575152777778;0.0274117469722222;0;0.000146172611111111;0.305057550833333;0;0;0.237127824222222;0.279269770527778;0.00290809588888889;1.21363895780556;0.305203723444444;0.519305690611111;0;0;0;0;0;0.003789621
kaernten;2006;2.43406165247222;0.227024181833333;0;0;0;0.0767989375;0.0767989375;0;0.150225244333333;0.150225244333333;0;0;0;0.002029797;0;0;2.20500767361111;0.06716787475;0.257333762888889;0.000292864055555556;0.364120367416667;0.00120687886111111;0.0948502227222222;0.00291134386111111;0.0759568826944444;0.141991828416667;0.0961213035277778;0.123974211194444;0.00734553213888889;0.0130268248611111;0;0.000151487388888889;0.396876990361111;0;0;0.284245956972222;0.274648897805556;0.00278444372222222;1.24629989736111;0.39702847775;0.5616792985;0;0;0;0;0;0.002029797
kaernten;2007;2.32450596472222;0.192627843333333;0;0;0;0.0524841686111111;0.0524841686111111;0;0.140143674444444;0.140143674444444;0;0;0;0.00329902388888889;0;0;2.1285790975;0.0784768922222222;0.198963951111111;0.000312131944444444;0.344769269444444;0.00163161305555556;0.104392925833333;0.00187305388888889;0.0779698041666667;0.142143632777778;0.151708776666667;0.0179790919444444;0.00652851861111111;0.0114079452777778;0;0.00136525472222222;0.525452034444444;0;0;0.217959517222222;0.242892735;0.00275194916666667;1.13815760694444;0.526817289166667;0.463604201388889;0;0;0;0;0;0.00329902388888889
kaernten;2008;2.60694050083333;0.274288678055556;0;0;0;0.0514214672222222;0.0514214672222222;0;0.222867210833333;0.222867210833333;0;0;0;0.00248111833333333;0;0.137240495277778;2.19293020916667;0.0850844858333333;0.0862829608333333;0.000331293333333333;0.3727539325;0.00122665694444444;0.0980524505555556;0.000834004444444445;0.0794764533333333;0.174364596944444;0.187049557777778;0.0165815552777778;0.00570914916666667;0.0119022525;0;0.00259203222222222;0.604143804722222;0;0;0.242834693611111;0.220731215;0.00297911388888889;1.11964934972222;0.606735836944444;0.4665450225;0;0;0;0;0;0.00248111833333333
kaernten;2009;2.09653979888889;0.215267852777778;0;0;0;0.0223434130555556;0.0223434130555556;0;0.192924439444444;0.192924439444444;0;0;0;0.00315665944444444;0;0.140975586111111;1.73713970055556;0.0759409275;0.0886919330555555;0.000538903055555556;0.255630244166667;0.002287705;0.114366671944444;0.00107724694444444;0.0826035344444444;0.167994393333333;0.0116955797222222;0.0169500405555556;0.005311995;0.0153384413888889;0;0.00597808444444444;0.487876297777778;0;0;0.175303723055556;0.226793901666667;0.00276007833333333;0.838427615833333;0.493854381944444;0.404857702777778;0;0;0;0;0;0.00315665944444444
kaernten;2010;2.10726052972222;0.205071711666667;0;0;0;0.0545549594444444;0.0151370655555556;0.0394178938888889;0.150516751944444;0.150516751944444;0;0;0;0.00275885222222222;0;0.150027686944444;1.74940227888889;0.0805491294444444;0.0541028408333333;0.000748900833333333;0.297722933611111;0.00403510444444445;0.155552783611111;0.00344885055555556;0.100192797777778;0.180986819444444;0.0231110038888889;0.0162687430555556;0.00491855555555556;0.0164546658333333;0;0.00883742166666667;0.408558313888889;0;0;0.1508130525;0.2401516125;0.00294874916666667;0.938093129444444;0.417395735277778;0.393913414166667;0;0;0;0;0;0.00275885222222222
kaernten;2011;2.356924525;0.330896789722222;0;0;0;0.126078828888889;0.0866609347222222;0.0394178938888889;0.204817961111111;0.204817961111111;0;0;0;0.00213910222222222;0;0.150853508888889;1.87303512388889;0.0815549927777778;0.0881507872222222;0.000689714166666667;0.377438987222222;0.00462051472222222;0.151581563611111;0.00273996305555556;0.0996417444444444;0.185025815;0.0261945122222222;0.0154232597222222;0.004529835;0.0215348033333333;0;0.00952891472222222;0.469474771388889;0;0;0.11305634;0.219375609166667;0.00247299555555556;1.05912649277778;0.479003686111111;0.334904945;0;0;0;0;0;0.00213910222222222
kaernten;2012;2.50536347194444;0.544691989444444;0;0;0;0.282283100555556;0.245312459444444;0.0369706411111111;0.262408889166667;0.246193333611111;0.0162155555555556;0;0;0.00193035305555556;0;0.15962535;1.79911577916667;0.0749099827777778;0.0560881997222222;0.000741727222222222;0.341799111388889;0.00598138388888889;0.140509103333333;0.00429357277777778;0.100716230277778;0.194268649166667;0.0621094783333333;0.0156708697222222;0.005210575;0.0220523516666667;0;0.0105227047222222;0.342949777222222;0;0;0.215660336388889;0.204044936944444;0.00158678861111111;1.02435123555556;0.353472481944444;0.421292061944444;0;0;0;0;0;0.00193035305555556
kaernten;2013;3.19535628777778;0.642568796944444;0;0;0;0.344218598611111;0.29049553;0.0537230683333333;0.298350198611111;0.232462420833333;0.0658877777777778;0;0;0.00553603388888889;0;0.16126992;2.38598153694444;0.118398595;0.101333008888889;0;0.415537429166667;0.00229754916666667;0.0961341225;0.134656303888889;0.0931581597222222;0.187002783611111;0.0787424363888889;0.0195165311111111;0.00470087472222222;0.0152765922222222;0;0.00291935388888889;0.714167889166667;0;0;0.194161283333333;0.206154747222222;0.00182387694444444;1.26675438666667;0.717087243055556;0.4021399075;0.00349132888888889;0;0;0;0;0.00204470472222222
kaernten;2014;2.73954281861111;0.529307861666667;0;0;0;0.302617388333333;0.268951340555556;0.0336660480555556;0.226690473333333;0.226690473333333;0;0;0;0.00507704611111111;0;0.156231503888889;2.04892640666667;0.139455781666667;0.0455232230555556;0;0.385684729722222;0.00247947833333333;0.0882592991666667;0.119247593611111;0.0940819002777778;0.198440686388889;0.0759895027777778;0.0145178955555556;0.00327727555555556;0.0352497816666667;0;0.00317392833333333;0.527285878333333;0;0;0.135343853333333;0.178904039166667;0.00201155972222222;1.20220714777778;0.530459806666667;0.316259452222222;0.00314438666666667;0;0;0;0;0.00193265944444444
kaernten;2015;2.93797625055556;0.5722145525;0;0;0;0.322473618888889;0.285352776666667;0.0371208419444444;0.249740933611111;0.249740933611111;0;0;0;0.00578607833333333;0;0.16102926;2.19894636;0.117652521666667;0.0471598897222222;0.0303486344444444;0.365474477222222;0.00269110861111111;0.0921505597222222;0.0993665905555556;0.107039878333333;0.204264353333333;0.0752833916666667;0.00914389916666667;0.00226732916666667;0.0345410808333333;0;0.00326110361111111;0.677110253055556;0;0;0.130331953611111;0.198863938055556;0.00199539694444444;1.18738371472222;0.680371356666667;0.331191288611111;0.00339445416666667;0;0;0;0;0.00239162388888889
